qid,Len,Begin,End,P49,P50
Q512118,Pre-Writing Period,8500 BCE,3500 BCE,-8500-00-00T00:00:00Z/7,-3500-00-00T00:00:00Z/7
Q512131,Uruk V Period,3500 BCE,3350 BCE,-3500-00-00T00:00:00Z/7,-3350-00-00T00:00:00Z/9
Q512132,Uruk IV Period,3300 BCE,3200 BCE,-3300-00-00T00:00:00Z/7,-3200-00-00T00:00:00Z/9
Q512133,Early Dynastic Period of Egypt,3300 BCE,3000 BCE,-3300-00-00T00:00:00Z/7,-3000-00-00T00:00:00Z/9
Q512134,Uruk III Period,3200 BCE,3000 BCE,-3200-00-00T00:00:00Z/7,-3000-00-00T00:00:00Z/9
Q512135,Proto-Elamite Period,3100 BCE,2900 BCE,-3100-00-00T00:00:00Z/7,-2900-00-00T00:00:00Z/9
Q512136,Early Dynastic Period,2900 BCE,2340 BCE,-2900-00-00T00:00:00Z/7,-2340-00-00T00:00:00Z/9
Q512137,Early Dynastic I Period,2900 BCE,2700 BCE,-2900-00-00T00:00:00Z/7,-2700-00-00T00:00:00Z/9
Q512139,Early Dynastic I Period,2900 BCE,2700 BCE,-2900-00-00T00:00:00Z/7,-2700-00-00T00:00:00Z/9
Q512140,Early Dynastic II Period,2750 BCE,2600 BCE,-2750-00-00T00:00:00Z/7,-2600-00-00T00:00:00Z/9
Q512141,Early Dynastic IIIa Period,2600 BCE,2500 BCE,-2600-00-00T00:00:00Z/7,-2500-00-00T00:00:00Z/9
Q512142,Old Elamite Period,2600 BCE,1500 BCE,-2600-00-00T00:00:00Z/7,-1500-00-00T00:00:00Z/9
Q512143,Early Dynastic IIIb Period,2500 BCE,2340 BCE,-2500-00-00T00:00:00Z/7,-2340-00-00T00:00:00Z/9
Q512144,Ebla Period,2350 BCE,2250 BCE,-2350-00-00T00:00:00Z/7,-2250-00-00T00:00:00Z/9
Q512145,Akkadian Period,2340 BCE,2200 BCE,-2340-00-00T00:00:00Z/7,-2200-00-00T00:00:00Z/9
Q512146,Linear Elamite Period,2200 BCE,2200 BCE,-2200-00-00T00:00:00Z/7,-2200-00-00T00:00:00Z/9
Q512147,Lagash II Period,2200 BCE,2100 BCE,-2200-00-00T00:00:00Z/7,-2100-00-00T00:00:00Z/9
Q512148,Harappan Period,2200 BCE,1900 BCE,-2200-00-00T00:00:00Z/7,-1900-00-00T00:00:00Z/9
Q512149,Ur III Period,2100 BCE,2000 BCE,-2100-00-00T00:00:00Z/7,-2000-00-00T00:00:00Z/9
Q512150,Isin-Larsa Period,2000 BCE,1800 BCE,-2000-00-00T00:00:00Z/7,-1800-00-00T00:00:00Z/9
Q512151,Early Old Babylonian Period,2000 BCE,1900 BCE,-2000-00-00T00:00:00Z/7,-1900-00-00T00:00:00Z/9
Q512152,Old Assyrian Period,1950 BCE,1720 BCE,-1950-00-00T00:00:00Z/7,-1720-00-00T00:00:00Z/9
Q512153,Old Babylonian Period,1900 BCE,1600 BCE,-1900-00-00T00:00:00Z/7,-1600-00-00T00:00:00Z/9
Q512154,Middle Hittite Period,1500 BCE,1100 BCE,-1500-00-00T00:00:00Z/7,-1100-00-00T00:00:00Z/9
Q512155,Middle Babylonian Period,1400 BCE,1100 BCE,-1400-00-00T00:00:00Z/7,-1100-00-00T00:00:00Z/9
Q512156,Middle Assyrian Period,1400 BCE,1000 BCE,-1400-00-00T00:00:00Z/7,-1000-00-00T00:00:00Z/9
Q512157,Middle Elamite Period,1300 BCE,1000 BCE,-1300-00-00T00:00:00Z/7,-1000-00-00T00:00:00Z/9
Q512158,Early Neo-Babylonian Period,1150 BCE,730 BCE,-1150-00-00T00:00:00Z/7,-730-00-00T00:00:00Z/9
Q512159,Neo-Assyrian Period,911 BCE,612 BCE,-911-00-00T00:00:00Z/9,-612-00-00T00:00:00Z/9
Q512160,Late Babylonian Period,911 BCE,612 BCE,-911-00-00T00:00:00Z/9,-612-00-00T00:00:00Z/9
Q512161,Neo-Elamite Period,770 BCE,539 BCE,-770-00-00T00:00:00Z/8,-539-00-00T00:00:00Z/9
Q512162,Neo-Babylonian Period,626 BCE,539 BCE,-626-00-00T00:00:00Z/9,-539-00-00T00:00:00Z/9
Q512162,Neo-Babylonian Period,626 BCE,539 BCE,-626-00-00T00:00:00Z/9,-539-00-00T00:00:00Z/9
Q512163,Persian Period,550 BCE,330 BCE,-550-00-00T00:00:00Z/8,-330-00-00T00:00:00Z/9
Q512164,Achaemenid Period,547 BCE,331 BCE,-547-00-00T00:00:00Z/9,-331-00-00T00:00:00Z/9
Q512164,Achaemenid Period,547 BCE,331 BCE,-547-00-00T00:00:00Z/9,-331-00-00T00:00:00Z/9
Q512165,Hellenistic Period,323 BCE,63 BCE,-323-00-00T00:00:00Z/9,-63-00-00T00:00:00Z/9
Q512169,Selucid Period,312 BCE,63 BCE,-312-00-00T00:00:00Z/9,-63-00-00T00:00:00Z/9
Q512171,Parthian Period,247 BCE,224 CE,-247-00-00T00:00:00Z/9,224-00-00T00:00:00Z/9
Q512170,Roman Empire,27 CE,395 CE,27-00-00T00:00:00Z/9,395-00-00T00:00:00Z/9
,Sassanian Period,224 CE,641 CE,224-00-00T00:00:00Z/9,641-00-00T00:00:00Z/9
