Label,Modern,count,Provenience
Abdju,mod. Abydos,186,186 Abdju (mod. Abydos)
Adab,mod. Bismaya,"2,968","2,968 Adab (mod. Bismaya)"
Adabilu,mod. uncertain,2,2 Adabilu (mod. uncertain)
Admannu,mod. Tall ‘Ali,25,25 Admannu (mod. Tall ‘Ali)
Agamatanu,mod. uncertain,1,1 Agamatanu (mod. uncertain)
Akhetaten,mod. el-Amarna,378,378 Akhetaten (mod. el-Amarna)
Alalakh,mod. Tell Açana/Atshana,776,776 Alalakh (mod. Tell Açana/Atshana)
Alu-binatu,mod. uncertain,1,1 Alu-binatu (mod. uncertain)
Alu-eššu,mod. uncertain,1,1 Alu-eššu (mod. uncertain)
Alu-ša-BAD-MAH-AN,mod. uncertain,1,1 Alu-ša-BAD-MAH-AN (mod. uncertain)
Alu-ša-šuma-ukin,mod. uncertain,3,3 Alu-ša-šuma-ukin (mod. uncertain)
Alu-šabtu,mod. uncertain,1,1 Alu-šabtu (mod. uncertain)
Amurru-šar-uṣur,mod. uncertain,2,2 Amurru-šar-uṣur (mod. uncertain)
Antipatris,mod. Tel Aphek,2,2 Antipatris (mod. Tel Aphek)
Anšan,mod. Tell Malyan,100,100 Anšan (mod. Tell Malyan)
Aqa,mod. uncertain,1,1 Aqa (mod. uncertain)
Arrapha,mod. Kirkuk,18,18 Arrapha (mod. Kirkuk)
Asdūdu,mod. Ashdod,1,1 Asdūdu (mod. Ashdod)
Assur,mod. Qalat Sherqat,"6,609","6,609 Assur (mod. Qalat Sherqat)"
Ašnakkum,mod. Chagar Bazar,379,379 Ašnakkum (mod. Chagar Bazar)
Ba-milkišu,mod. uncertain,1,1 Ba-milkišu (mod. uncertain)
Babylon,mod. Bābil,"4,520","4,520 Babylon (mod. Bābil)"
Bad-Tibira,mod. Tell Medinah,11,11 Bad-Tibira (mod. Tell Medinah)
Baḫe,mod. uncertain,3,3 Baḫe (mod. uncertain)
