qid,Aen,Len,Lde,Lfr,Les,Ltr,Den,P2,P3,P287,P125,P156,P146,P771,P131,P131,?,,,,,,,,,,,,,,,,,,,,"FactGrid Items for Universities, Museums",
factgrid_id,abb,collection_name Collection,collection_name Collection,,,,,,,type of organization,collection_actor_status,collection_url,cdli_url,wikidata_id,research projs,,wiki_url_eng,collection_name_native,name_native_iso,wiki_url_native,geonames_id,collection_id,cdli_id,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,notes,to_be_deleted,url_native_iso,osm_id,osm_type,,,
Q1005358,MP,Musée de la Poste,Musée de la Poste,Musée de la Poste,Musée de la Poste,Musée de la Poste,"Musée Postal, Paris, France",Q21411,,Q21907,Q11278,https://www.museedelaposte.fr,https://cdli.earth/collections/142,Q2445818,Q389597,Q389595,https://en.wikipedia.org/wiki/Musée_de_La_Poste,Musée de la Poste,fra,https://fr.wikipedia.org/wiki/Musée_de_La_Poste_(Paris),0,1039,142,Extant,Company,Public,1,FRA,FRA.8_1,FRA.8.3_1,,0,fra,993828548,node,,University of Debrecen,https://database.factgrid.de/entity/Q449624
Q1005359,TrMA,Trinity Museum of Archaeology,Trinity Museum of Archaeology,Trinity Museum of Archaeology,Trinity Museum of Archaeology,Trinity Museum of Archaeology,"Trinity Museum of Archaeology, San Antonio,Texas, USA",Q23239,,,Q11276,,https://cdli.earth/collections/1059,,Q389597,Q389595,,,,,,1193,1059,Unknown,Unknown,Unknown,0,USA,USA.44_1,USA.44.15_1,,0,,,,,Universitas Studii Coloniensis,https://database.factgrid.de/entity/Q76022
Q102010,,British Museum Collection,British Museum,British Museum,British Museum,British Museum,"British Museum, London, UK",Q23239,,Q145257,Q11278,https://www.britishmuseum.org,https://cdli.earth/collections/868,Q6373,Q389597,Q389595,https://en.wikipedia.org/wiki/British_Museum,British Museum,eng,https://en.wikipedia.org/wiki/British_Museum,6697862,8,868,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.36_1,,0,eng,,,,"Sinking Spring Farm, Kentucky",https://database.factgrid.de/entity/Q22045
Q1031093,Erlenmeyer,Hans Erlenmeyer Collection,Hans Erlenmeyer Collection,Hans Erlenmeyer Collection,Hans Erlenmeyer Collection,Hans Erlenmeyer Collection,"Private collection: Erlenmeyer, Basel, Switzerland (dispersed)",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1274,Q15819388,Q389597,Q389595,,,,https://de.wikipedia.org/wiki/Hans_Erlenmeyer,,353,1274,Terminated,Person,Individual,0,CHE,CHE.5_1,CHE.5.1_1,,0,deu,,,,,
Q1060870,Yavuz Tatış,Yavuz Tatış Collection,,,,,"Yavuz Tatış, İzmir, Türkiye",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1540,,Q389597,,,,,,,,,,,,,,,,,,,,,,,
Q1089449,ThomasJH,John H. Thomas Collection,John H. Thomas Collection,John H. Thomas Collection,John H. Thomas Collection,John H. Thomas Collection,"Private collection: Thomas, John H., Chesterfield, Virginia, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/225,,Q389597,Q389595,,,,,,1185,225,Unknown,Person,Individual,0,USA,USA.47_1,USA.47.27_1,,0,,,,,,
Q1349910,,Krakow National Museum,Krakow National Museum,Krakow National Museum,Krakow National Museum,Krakow National Museum,"Muzeum Narodowym w Krakowie, Cracow, Poland; Krakow National Museum, Krakow, Poland",Q23239,,Q145257,Q11278,https://mnk.pl,https://cdli.earth/collections/1351,Q195311,Q389597,Q389595,"https://en.wikipedia.org/wiki/National_Museum,_Kraków",Muzeum Narodowe w Krakowie,pol,https://pl.wikipedia.org/wiki/Muzeum_Narodowe_w_Krakowie,0,385,569; 844,Extant,Agency,Public,1,POL,POL.6_1,POL.6.6_1,,0,pol,231815729,way,,Johannis-Loge Friedrich Leopold zur Morgenröthe zu Görlitz. Bibliothek,https://database.factgrid.de/entity/Q81040
Q1349912,FT | de la Grange,De la Grange Collection,De la Grange Collection,De la Grange Collection,De la Grange Collection,De la Grange Collection,"Private collection: de la Grange, unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/926,,Q389597,Q389595,,,,,,842,926,Unknown,Person,Individual,0,,,,,0,,,,,National University of Kyiv-Mohyla Academy,https://database.factgrid.de/entity/Q704265
Q1349913,,Eilsberger Collection,Eilsberger Collection,Eilsberger Collection,Eilsberger Collection,Eilsberger Collection,"Private collection: Eilsberger, H., Pullach, nr. Munich, Germany",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/482,,Q389597,Q389595,,,,,,868,482,Unknown,Person,Individual,0,DEU,DEU.2_1,DEU.2.60_1,,0,,,,,Johannes Gutenberg University Mainz,https://database.factgrid.de/entity/Q949800
Q1349914,Goudchaux,Goudchaux Collection,Goudchaux Collection,Goudchaux Collection,Goudchaux Collection,Goudchaux Collection,Private collection: Goudchaux,Q21411,,Q173099,Q11267,,https://cdli.earth/collections/765,,Q389597,Q389595,,,,,,904,765,Unknown,Person,Individual,0,,,,,0,,,,,,
Q148423,,Library System of the JLU Giessen Collection,Library System of the JLU Giessen Collection,Library System of the JLU Giessen Collection,Library System of the JLU Giessen Collection,Library System of the JLU Giessen Collection,"Universitätsbibliothek, University of Giessen, Giessen, Germany",Q550435,,Q160273,Q11278,https://www.uni-giessen.de/ub/de,https://cdli.earth/collections/1224,Q28733453,Q389597,Q389595,,Universitätsbibliothek Giessen,deu,https://de.wikipedia.org/wiki/Universitätsbibliothek_Gießen,0,1215,1224,Extant,Educational institution,Public,1,DEU,DEU.7_1,DEU.7.6_1,,0,deu,2212114953,node,,"Muzeum Brněnska, P.o.",https://database.factgrid.de/entity/Q23238
Q169485,,"Israel Museum, Jerusalem Collection","Israel Museum, Jerusalem Collection","Israel Museum, Jerusalem Collection","Israel Museum, Jerusalem Collection","Israel Museum, Jerusalem Collection","The Israel Museum, Jerusalem",Q23239,,Q145257,Q11278,https://www.imj.org.il/#page-1,https://cdli.earth/collections/701,Q46815,Q389597,Q389595,https://en.wikipedia.org/wiki/Israel_Museum,"מוזיאון ישראל, ירושלים",heb,https://he.wikipedia.org/wiki/מוזיאון_ישראל,10228891,24,701,Extant,Agency,Public,1,ISR,ISR.6_1,0,,0,heb,,,,"Germanisches Nationalmuseum, Nuremberg",https://database.factgrid.de/entity/Q23379
Q172028,,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,Bibliothèque Nationale et Universitaire de Strasbourg Collection,"Bibliothèque Nationale et Universitaire de Strasbourg, Strasbourg, France",Q11249,,Q145257,Q11278,https://www.bnu.fr/fr,https://cdli.earth/collections/787,Q630461,Q389597,Q389595,https://en.wikipedia.org/wiki/National_and_University_Library,Bibliothèque Nationale et Universitaire de Strasbourg,fra,https://fr.wikipedia.org/wiki/Biblioth%C3%A8que_nationale_et_universitaire_(Strasbourg),0,257,787,Extant,Agency,Public,1,FRA,FRA.6_1,FRA.6.3_1,,0,eng,236931,relation,,Museum für Hamburgische Geschichte,https://database.factgrid.de/entity/Q23586
Q173222,,University of Liège Collection,University of Liège Collection,University of Liège Collection,University of Liège Collection,University of Liège Collection,"University of Liège, Liège, Belgium",Q11307,Q529854,Q160273,Q11278,https://www.uliege.be,https://cdli.earth/collections/1162,Q1334582,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Liège,Université de Liège,fra,https://fr.wikipedia.org/wiki/Université_de_Liège,6696552,1211,1162,Extant,Educational institution,Public,1,BEL,BEL.3_1,BEL.3.3_1,,0,fra,,,,Museum Osterode,https://database.factgrid.de/entity/Q74898
Q219415,,Cambridge University Library,Cambridge University Library,Cambridge University Library,Cambridge University Library,Cambridge University Library,"Cambridge University Library, University of Cambridge, Cambridge, UK",Q550435,,Q160273,Q11276,https://www.lib.cam.ac.uk,https://cdli.earth/collections/1045,Q1028334,Q389597,Q389595,https://en.wikipedia.org/wiki/Cambridge_University_Library,Cambridge University Library,eng,https://en.wikipedia.org/wiki/Cambridge_University_Library,0,795,1045,Extant,Educational institution,Group,1,GBR,GBR.1_1,GBR.1.16_1,,0,eng,1950099,relation,,University of Glasgow,https://database.factgrid.de/entity/Q97232
Q219421,,Yale University Collection,Yale University Collection,Yale University Collection,Yale University Collection,Yale University Collection,"Yale University, New Haven, Connecticut, USA",Q21411,Q529854,Q160273,Q11278,https://www.yale.edu,,Q49112,Q389597,Q389595,https://en.wikipedia.org/wiki/Yale_University,Yale University,eng,https://en.wikipedia.org/wiki/Yale_University,4846179,559,0,Extant,Educational institution,Group,1,USA,USA.7_1,USA.7.5_1,,0,eng,,,,Salesian Pontifical University,https://database.factgrid.de/entity/Q511908
