Working,project,oracc_link,projectname,Period,count,num,ipynb1,ipynb2,2022_json,note,words_df,df_cat,Translation,FG_upload
FALSE,ARIo: Achaemenid Royal Inscriptions online,,ario,Ach,175,9.00,,,https://drive.google.com/file/d/1tuxJ0ORKZ4C5WlHUqb_7FNcXwsdH6ddc/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Babylon 8: The Inscriptions of Cyrus II and His Successors,,ribo/babylon8,Ach,26,93.00,,,https://drive.google.com/file/d/1zF1vc-81fiGS8IoKPoGlChYKiZsV4OVI/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Electronic Corpus of Urartian Texts (eCUT) Project,,ecut,Ach,742,56.00,,,https://drive.google.com/file/d/1xEWABctw7eNjptoniZSmeBonLJ5ZwQ9u/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,ARMEP: Ancient Records of Middle Eastern Polities,,armep,ALL,51019,10.00,,,https://drive.google.com/file/d/1uC5Uv-Ige5bzSNz1dYEaOVfVEvBB7wiG/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,CDLI: The Cuneiform Digital Library Initiative,,cdli,ALL,353283,40.00,https://colab.research.google.com/drive/1AqjMHayt1FF9B5rqtUTsfe39-DuKgZlc?usp=sharing,,https://drive.google.com/file/d/1wgNIc1D8VW9IK89Q4pgeLrR01j0BzQOd/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,DCCLT/signlists: DCCLT/Reading the Signs,,dcclt/signlists,ALL,2337,53.00,,,https://drive.google.com/file/d/1wvdXG4nmsYs_csiI4H5YddbDPI-DGTkQ/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Digital Corpus of Cuneiform Mathematical Texts,,dccmt,ALL,1420,54.00,,,https://drive.google.com/file/d/1x6gfwqyfJ9nickzDCepvuqHHoPqVdAey/view?usp=share_link,apparently no PNs...,FALSE,FALSE,FALSE,FALSE
TRUE,ePSD2: electronic PSD 2nd Edition,http://oracc.museum.upenn.edu/json/epsd2.zip,epsd2,ALL,154787,58.00,,,,,FALSE,FALSE,FALSE,FALSE
TRUE,LaOCOST: Law and Order: Cuneiform Online Sustainable Tool,,lacost,ALL,13,77.00,,,https://drive.google.com/file/d/1y1VdFbZE6LnvGmFDvt-t7KZBrD1JjJA8/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Qcat: The Q Catalogue,,qcat,ALL,9398,82.00,,,https://drive.google.com/file/d/1yLwSyBekO5WHEEr93RPeMadZasDIXI20/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,DCCLT/ebla: DCCLT/Ebla Lexical Texts,,dcclt/ebla,Ebla,264,50.00,,,https://drive.google.com/file/d/1wtcUo9fn0ClPQO4x7rWqqOSyRmNEZ-WG/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,ePSD2 Administrative Corpus Ebla,http://oracc.museum.upenn.edu/json/epsd2-admin-ebla.zip,epsd2/admin/ebla,Ebla,157,59.00,,,,,FALSE,FALSE,FALSE,FALSE
TRUE,ePSD2 Administrative Corpus ED I-II,http://oracc.museum.upenn.edu/json/epsd2-admin-ed12.zip,epsd2/admin/ed12,ED,89,60.00,,,,,FALSE,FALSE,FALSE,FALSE
FALSE,ePSD2 Administrative Corpus ED IIIa,http://oracc.museum.upenn.edu/json/epsd2-admin-ed3a.zip,epsd2/admin/ed3,ED,840,61.00,,,,,FALSE,FALSE,FALSE,FALSE
FALSE,ePSD2 Administrative Corpus ED IIIb,http://oracc.museum.upenn.edu/json/epsd2-admin-ed3b.zip,epsd2/admin/ed3b,ED,3477,62.00,,,,,FALSE,FALSE,FALSE,FALSE
FALSE,ePSD2 Administrative Corpus Lagash II,http://oracc.museum.upenn.edu/json/epsd2-admin-lagash2.zip,epsd2/admin/lagash2,L2,769,63.00,,,,,FALSE,FALSE,FALSE,FALSE
