provenience,Len,FG_qid,ancientplace
"Abdju (mod. Abydos, Egypt)",A'ali,Q389998,https://database.factgrid.de/entity/Q389998
Akhetaten (mod. el-Amarna),Abū Fanduwā,Q389683,https://database.factgrid.de/entity/Q389683
Alalakh (mod. Tell Açana) : uncertain (mod. Tell Atshana),Tall Ḥalāwah,Q389897,https://database.factgrid.de/entity/Q389897
Anšan (mod. Tell Malyan),Kisurra,Q389796,https://database.factgrid.de/entity/Q389796
Antipatris (mod. Tel Aphek),Tulūl Abū Jāwan,Q389947,https://database.factgrid.de/entity/Q389947
Arrapha (mod. Kirkuk),Tall Abū Ṣālabīkh,Q389843,https://database.factgrid.de/entity/Q389843
Asdūdu (mod. Ashdod),Eridu,Q389787,https://database.factgrid.de/entity/Q389787
Bābili (mod. Babylon) : uncertain (mod. Amran),Tell Abu Mariya,Q389803,https://database.factgrid.de/entity/Q389803
Bābili (mod. Babylon) : uncertain (mod. Amran),Tell Abu Mariya,Q389803,https://database.factgrid.de/entity/Q389803
Bad-Tibira (mod. Tell Medinah),Abydos,Q389607,https://database.factgrid.de/entity/Q389607
Borsippa (mod. Birs Nimrud),Tall al-A‘shārnah,Q389867,https://database.factgrid.de/entity/Q389867
Burmarina (mod. Tell Shiukh Fawqani),Alişar Hüyük,Q390034,https://database.factgrid.de/entity/Q390034
Der (mod. Tell Aqar),Tall ʻĀmūdā,Q389917,https://database.factgrid.de/entity/Q389917
Dilbat (mod. Deilam),‘Anah,Q390000,https://database.factgrid.de/entity/Q390000
"Dilmun (mod. A'ali, Bahrain)",Dur-Kurigalzu,Q389923,https://database.factgrid.de/entity/Q389923
Dilmun (mod. Qal'at al-Bahrain),Arslan Tash,Q389789,https://database.factgrid.de/entity/Q389789
Dur-Katlimmu (mod. Tall Shekh Hamad),Arslantepe Höyüğü,Q390052,https://database.factgrid.de/entity/Q390052
Dur-Kurigalzu (mod. Aqar Quf),Tall al-Sīb,Q389861,https://database.factgrid.de/entity/Q389861
Dur-Šarrukin (mod. Khorsabad),Tall al-Sīb,Q389861,https://database.factgrid.de/entity/Q389861
Dur-Untaš (mod. Chogha Zanbil),Aşağı Yarımca,Q390057,https://database.factgrid.de/entity/Q390057
Ebla (mod. Tell Mardikh),Tall al-Ashārah,Q389853,https://database.factgrid.de/entity/Q389853
Ekalte (mod. Tell Munbaqa),Ashdod,Q389630,https://database.factgrid.de/entity/Q389630
Emar (mod. Tell Meskene),Ashkelon,Q82414,https://database.factgrid.de/entity/Q82414
Eridu (mod. Abu Shahrain),Kebeli,Q390084,https://database.factgrid.de/entity/Q390084
Ešnunna (mod. Tell Asmar),Babylon,Q389820,https://database.factgrid.de/entity/Q389820
Garšana (mod. uncertain),Babylon,Q389820,https://database.factgrid.de/entity/Q389820
Girsu (mod. Tello),Isin,Q389800,https://database.factgrid.de/entity/Q389800
Gubla (mod. Byblos),Balawat,Q389827,https://database.factgrid.de/entity/Q389827
Ḫadatu (mod. Arslan Tash),Bitwātā,Q389824,https://database.factgrid.de/entity/Q389824
Halicarnassus (mod. Halicarnassus),Mardaman,Q389822,https://database.factgrid.de/entity/Q389822
Hamath (mod. Hama),Bāfīān,Q389823,https://database.factgrid.de/entity/Q389823
Hamath (mod. Hama),Bisutun,Q389687,https://database.factgrid.de/entity/Q389687
Haradum (mod. Khirbet ed-Diniye),Baysan,Q389830,https://database.factgrid.de/entity/Q389830
Ḫarbe (mod. Tell Chuera),Ben Shemen,Q389632,https://database.factgrid.de/entity/Q389632
