FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en,source_file
Q91761,https://database.factgrid.de/entity/Q91761,Sidon,,144,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389610,https://database.factgrid.de/entity/Q389610,Akhetaten (mod. el-Amarna),,266,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389632,https://database.factgrid.de/entity/Q389632,Ben Shemen,,111,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389637,https://database.factgrid.de/entity/Q389637,Qaqun,,189,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389638,https://database.factgrid.de/entity/Q389638,Antipatris (mod. Tel Aphek),,10,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389683,https://database.factgrid.de/entity/Q389683,Abū Fanduwā,,115,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389688,https://database.factgrid.de/entity/Q389688,Tall-I Takht (mod. Pasargadae),,198,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389692,https://database.factgrid.de/entity/Q389692,Tepe Sofalin,,146,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389693,https://database.factgrid.de/entity/Q389693,Tepe Farukhabad,,129,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389710,https://database.factgrid.de/entity/Q389710,Chogha Mish,,137,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389716,https://database.factgrid.de/entity/Q389716,Sar-i-pul-i-Zohāb,,116,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389723,https://database.factgrid.de/entity/Q389723,Susa (mod. Shush),,12,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389732,https://database.factgrid.de/entity/Q389732,Kermanshah,,247,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389768,https://database.factgrid.de/entity/Q389768,Tell Sweyhat,,156,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389770,https://database.factgrid.de/entity/Q389770,Glai'a,,173,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389775,https://database.factgrid.de/entity/Q389775,Tell al-Diba'i,,148,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389790,https://database.factgrid.de/entity/Q389790,Nerebtum (mod. Iščali),,245,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389792,https://database.factgrid.de/entity/Q389792,Umm el-Hafriyat,,268,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389798,https://database.factgrid.de/entity/Q389798,Ishan-Dhahak,,138,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389803,https://database.factgrid.de/entity/Q389803,Tell Abu-Maria,,158,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389806,https://database.factgrid.de/entity/Q389806,al Ḥā'iṭ,,112,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389827,https://database.factgrid.de/entity/Q389827,Imgur-Enlil (mod. Balawat),,275,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389833,https://database.factgrid.de/entity/Q389833,Umma (mod. Tell Jokha),,154,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389840,https://database.factgrid.de/entity/Q389840,Sippar-Yahrurum (mod. Tell Abu Habbah),,25,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389841,https://database.factgrid.de/entity/Q389841,Maškan-šapir (mod. Tell Abu Duwari),,192,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389848,https://database.factgrid.de/entity/Q389848,Kutha (mod. Tell Ibrahim),,23,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389853,https://database.factgrid.de/entity/Q389853,Terqa (mod. Ashara),,250,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389854,https://database.factgrid.de/entity/Q389854,Tuttul (mod. Tell Bi'a),,26,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389856,https://database.factgrid.de/entity/Q389856,Tell Hammam,,113,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389858,https://database.factgrid.de/entity/Q389858,Sippar-Amnanum (mod. Tell ed-Der),,2,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389859,https://database.factgrid.de/entity/Q389859,Qatara (mod. Tell al Rimah),,242,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389860,https://database.factgrid.de/entity/Q389860,Larsa (mod. Tell as-Senkereh),,168,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389861,https://database.factgrid.de/entity/Q389861,Tell As-Sib,,196,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389862,https://database.factgrid.de/entity/Q389862,Ḫarbe (mod. Tell Chuera),,204,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389863,https://database.factgrid.de/entity/Q389863,Dur-Katlimmu (mod. Tall Shekh Hamad),,135,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389868,https://database.factgrid.de/entity/Q389868,Alalakh,,162,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389875,https://database.factgrid.de/entity/Q389875,Bad-Tibira (mod. Tell Medinah),,133,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389877,https://database.factgrid.de/entity/Q389877,Ur (mod. Tell Muqayyar),,21,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389882,https://database.factgrid.de/entity/Q389882,Gišša (mod. Umm al-Aqarib),,101,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389886,https://database.factgrid.de/entity/Q389886,Nagar (mod. Tell Brak),,217,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389891,https://database.factgrid.de/entity/Q389891,Nabada,,260,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389894,https://database.factgrid.de/entity/Q389894,Me-Turran (mod. Tell Haddad),,149,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389896,https://database.factgrid.de/entity/Q389896,Mari (mod. Tell Hariri),,161,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389897,https://database.factgrid.de/entity/Q389897,Tall Halawah,,235,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389905,https://database.factgrid.de/entity/Q389905,Tell Sifr,,210,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389910,https://database.factgrid.de/entity/Q389910,Ašnakkum,,136,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389914,https://database.factgrid.de/entity/Q389914,Marad (mod. Wanna-wa-Sadum),,223,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389922,https://database.factgrid.de/entity/Q389922,Der (mod. Tell Aqar),,178,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389923,https://database.factgrid.de/entity/Q389923,Dur-Kurigalzu (mod. Aqar Quf),,13,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389940,https://database.factgrid.de/entity/Q389940,Emar (mod. Tell Meskene),,143,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389941,https://database.factgrid.de/entity/Q389941,Ekalte (mod. Tell Munbaqa),,214,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389942,https://database.factgrid.de/entity/Q389942,Urkesh (mod. Tell Mozan),,254,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389944,https://database.factgrid.de/entity/Q389944,Larak (mod. Tell Wilayah) : Kesh (mod. Wilaya ?),,132,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389947,https://database.factgrid.de/entity/Q389947,Tulul Abu Jawan,,121,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389949,https://database.factgrid.de/entity/Q389949,Tell al-Baqarat,,148,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389957,https://database.factgrid.de/entity/Q389957,Karkemish (mod. Djerabis),,270,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389958,https://database.factgrid.de/entity/Q389958,Jerwan,,142,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389960,https://database.factgrid.de/entity/Q389960,Jemdet Nasr,,159,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389966,https://database.factgrid.de/entity/Q389966,Khan Haswa,,19,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389968,https://database.factgrid.de/entity/Q389968,Tutub (mod. Khafaje),,130,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389971,https://database.factgrid.de/entity/Q389971,Diqdiqqah,,153,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389973,https://database.factgrid.de/entity/Q389973,Dura-Europus,,220,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389975,https://database.factgrid.de/entity/Q389975,Ugarit (mod. Ras Shamra),,131,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389986,https://database.factgrid.de/entity/Q389986,Seleucia,,120,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
