FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q389638,https://database.factgrid.de/entity/Q389638,Antipatris (mod. Tel Aphek),Antipatris,10,Point(34.9311 32.1053),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390027,https://database.factgrid.de/entity/Q390027,Kabnak (mod. Haft Tepe),Haft Tepe | Kabnak,100,Point(48.3276 32.0803),Q8 | Q389596 | Q1785688,ancient location and modern archaeological excavation site
Q2099939,https://database.factgrid.de/entity/Q2099939,Galgameš,,1006,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099921,https://database.factgrid.de/entity/Q2099921,Bit-kunanu,,1007,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099916,https://database.factgrid.de/entity/Q2099916,Bit-bari,,1008,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099947,https://database.factgrid.de/entity/Q2099947,Haṭru,,1009,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100022,https://database.factgrid.de/entity/Q2100022,Tell Kirbāsi,mod. Tell Kirbāsi,1010,Point(46.9517 30.7492),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099928,https://database.factgrid.de/entity/Q2099928,Chamchamal,mod. Chamchamal,1011,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100019,https://database.factgrid.de/entity/Q2100019,Tell Basmaya,mod. Tell Basmaya,1012,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099980,https://database.factgrid.de/entity/Q2099980,Petronell-Carnuntum,Carnuntum | mod. Petronell-Carnuntum,1014,Point(16.861 48.113),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099943,https://database.factgrid.de/entity/Q2099943,Gur-e Sefid,mod. Gur-e Sefid,1015,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100031,https://database.factgrid.de/entity/Q2100031,Tulūl Kubībah,mod. Tulūl Kubībah,1016,Point(46.148 31.704),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099997,https://database.factgrid.de/entity/Q2099997,Šušan,,1017,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099989,https://database.factgrid.de/entity/Q2099989,Saḫrītu,,1018,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099993,https://database.factgrid.de/entity/Q2099993,Šuppatu,,1019,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389852,https://database.factgrid.de/entity/Q389852,Tell Agrab,mod. Tell Agrab,102,Point(44.8742 33.3391),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099918,https://database.factgrid.de/entity/Q2099918,Bīt-Ḫaḫḫūru,,1020,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099934,https://database.factgrid.de/entity/Q2099934,El Geraineh,Egraineli | mod. El Geraineh,1021,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099907,https://database.factgrid.de/entity/Q2099907,Apšu,,1022,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099986,https://database.factgrid.de/entity/Q2099986,Quwakh Tapeh,mod. Quwakh Tapeh,1023,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099897,https://database.factgrid.de/entity/Q2099897,Äl-Mušēzib-Marduk,mod. Äl-Mušēzib-Marduk,1024,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099942,https://database.factgrid.de/entity/Q2099942,Gišši,,103,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389607,https://database.factgrid.de/entity/Q389607,"Abdju (mod. Abydos, Egypt)",Umm El Qa'ab | Abdju,104,Point(31.908 26.1747),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390030,https://database.factgrid.de/entity/Q390030,Uruk (mod. Warka),Uruk | Erech | Erekh | Auruk | Orkhóē | Orékh | Ōrúgeia,105,Point(45.6374 31.3259),Q8 | Q389596 | Q1785688 | Q1059746,ancient location and modern archaeological excavation site
Q389814,https://database.factgrid.de/entity/Q389814,Dharan,,106,Point(50.1502 26.2664),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389950,https://database.factgrid.de/entity/Q389950,Tulul al-Lak,,107,Point(43.2638 36.2983),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389824,https://database.factgrid.de/entity/Q389824,Bardi Sanjian Bitwata,,108,Point(44.7031 36.3398),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389709,https://database.factgrid.de/entity/Q389709,Dur-Untaš (mod. Chogha Zanbil),Chogha Zanbil | Dur-Untaš,109,Point(48.5229 32.0078),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389727,https://database.factgrid.de/entity/Q389727,Qasr-i Abu Nasr (mod. uncertain),,11,Point(52.6252 29.5848),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389632,https://database.factgrid.de/entity/Q389632,Ben Shemen,,111,Point(34.9206 31.9535),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389856,https://database.factgrid.de/entity/Q389856,Tell Hammam,,113,Point(45.7675 31.6365),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389683,https://database.factgrid.de/entity/Q389683,Abū Fanduwā,Abu Fandowa | mod. Abu Fandowa,115,Point(48.3164 32.0941),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389716,https://database.factgrid.de/entity/Q389716,Sar-i-pul-i-Zohāb,Anubanini rock relief,116,Point(45.8692 34.4633),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390028,https://database.factgrid.de/entity/Q390028,Hamadan,Ecbatana,117,Point(48.5171 34.8043),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389920,https://database.factgrid.de/entity/Q389920,Šaddikanni (mod. Tell Ajaja),Shaddikanni,118,Point(40.7205 36.2082),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389723,https://database.factgrid.de/entity/Q389723,Susa (mod. Shush),Susa,12,Point(48.2569 32.1895),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389986,https://database.factgrid.de/entity/Q389986,Seleucia,Seleucia | Tell 'Umar,120,Point(44.5213 33.0962),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389947,https://database.factgrid.de/entity/Q389947,Tulul Abu Jawan,Abu Jawan | mod. Abu Jawan,121,Point(44.807 33.1337),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100041,https://database.factgrid.de/entity/Q2100041,Za'aleh,mod. Za'aleh,122,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099892,https://database.factgrid.de/entity/Q2099892,Abu Sêcher,mod. Abu Sêcher,123,,Q389596 | Q8,uncertain ancient location with artifacts from the Lagash II period (ca. 2200-2100 BC)
Q2099926,https://database.factgrid.de/entity/Q2099926,Bit-ṭab-bel,,125,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390159,https://database.factgrid.de/entity/Q390159,Tell Sabaa,,126,Point(44.7514 33.4638),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099941,https://database.factgrid.de/entity/Q2099941,Girigu,,128,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389693,https://database.factgrid.de/entity/Q389693,Tepe Farukhabad,,129,Point(47.2246 32.5873),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389923,https://database.factgrid.de/entity/Q389923,Dur-Kurigalzu (mod. Aqar Quf),Dur-Kurigalzu,13,Point(44.1888 33.3599),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389968,https://database.factgrid.de/entity/Q389968,Tutub (mod. Khafaje),Khafajah | Tutub,130,Point(44.5559 33.3554),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389975,https://database.factgrid.de/entity/Q389975,Ugarit (mod. Ras Shamra),Ugarit,131,Point(35.7853 35.6021),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389944,https://database.factgrid.de/entity/Q389944,Larak (mod. Tell Wilayah) : Kesh (mod. Wilaya ?),Larak,132,Point(45.6602 32.3127),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389875,https://database.factgrid.de/entity/Q389875,Bad-Tibira (mod. Tell Medinah),Bad-tibira | Bad-Tibira,133,Point(46.004 31.3832),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099962,https://database.factgrid.de/entity/Q2099962,Kar-Nabu,,134,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389863,https://database.factgrid.de/entity/Q389863,Dur-Katlimmu (mod. Tall Shekh Hamad),Tell Sheikh Hamad | Dur-Katlimmu,135,Point(40.7436 35.6463),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389910,https://database.factgrid.de/entity/Q389910,Ašnakkum,Chagar Bazar,136,Point(40.8978 36.8755),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389710,https://database.factgrid.de/entity/Q389710,Chogha Mish,,137,Point(48.5555 32.224),Q8 | Q389596,ancient location and modern archaeological excavation site
