,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q390152,Q1000878,Muradiye,,https://database.factgrid.de/entity/Q390152,,Point(43.7634 38.9913)
Q389888,Q102355646,Garshana,Garšana (mod. uncertain),https://database.factgrid.de/entity/Q389888,38,Point(46.1189 31.4433)
Q389722,Q1025825,Shahr-i Sūkhta,uncertain (mod. Shahr-i Sokhta),https://database.factgrid.de/entity/Q389722,309,Point(61.328 30.5961)
Q390040,Q1039186,Zinčirli,Samal (mod. Zinčirli),https://database.factgrid.de/entity/Q390040,14,Point(36.6783 37.1035)
Q389604,Q103943905,Kourion,Kourion (mod. Cyprus),https://database.factgrid.de/entity/Q389604,375,Point(32.8844 34.6666)
Q390044,Q1040082,Kuşaklı,uncertain (mod. Kuşaklı),https://database.factgrid.de/entity/Q390044,190,Point(36.9096 39.3084)
Q389850,Q1074177,Tall Ibzaīykh,Zabalam (mod. Ibzaikh) : uncertain (mod. Ibzaih),https://database.factgrid.de/entity/Q389850,98,Point(45.8749 31.7436)
Q389850,Q1074177,Tall Ibzaīykh,Zabalam (mod. Ibzaikh) : uncertain (mod. Ibzaih),https://database.factgrid.de/entity/Q389850,99,Point(45.8749 31.7436)
Q390121,Q10758333,Elmalık,,https://database.factgrid.de/entity/Q390121,,Point(43.3098 38.4119)
Q389905,Q108153301,Kutalla,Kutalla (mod. Tell Sifr) : uncertain (mod. Tell Sifr),https://database.factgrid.de/entity/Q389905,210,Point(45.9672 31.2946)
Q389905,Q108153301,Kutalla,Kutalla (mod. Tell Sifr) : uncertain (mod. Tell Sifr),https://database.factgrid.de/entity/Q389905,167,Point(45.9672 31.2946)
Q389894,Q108830416,Tell Hadad,Me-Turran (mod. Tell Haddad),https://database.factgrid.de/entity/Q389894,149,Point(45.0563 34.1928)
Q389848,Q1096108,Kutha,Kutha (mod. Tell Ibrahim),https://database.factgrid.de/entity/Q389848,23,Point(44.6112 32.7605)
Q389673,Q1132798,Zippori,uncertain (mod. Sepphoris),https://database.factgrid.de/entity/Q389673,307,Point(35.279 32.7529)
Q390092,Q1143135,Cudi Dağı,uncertain (mod. Judi Dagh),https://database.factgrid.de/entity/Q390092,224,Point(42.3668 37.3838)
Q389654,Q1171924,Daskileion,,https://database.factgrid.de/entity/Q389654,,Point(28.0507 40.1326)
Q389816,Q1183843,Al-Marjab,,https://database.factgrid.de/entity/Q389816,,Point(46.1575 30.8627)
Q390079,Q118995,Muş,,https://database.factgrid.de/entity/Q390079,,Point(41.4794 38.733)
Q389822,Q11935295,Mardaman,uncertain (mod. Bassetki),https://database.factgrid.de/entity/Q389822,24,Point(42.7213 36.9589)
Q389857,Q1193666,Dilbat,Dilbat (mod. Deilam),https://database.factgrid.de/entity/Q389857,253,Point(44.4668 32.2961)
Q389758,Q1195993,Karmir blur,,https://database.factgrid.de/entity/Q389758,,Point(44.4509 40.1529)
Q389940,Q1196243,Emar,Emar (mod. Tell Meskene),https://database.factgrid.de/entity/Q389940,143,Point(38.1126 35.9876)
