Unnamed: 0,P771,Len,Aen,FG_qid,P694,P48,FG_qid_url,P2,description_en,source_file
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord,,,,
Q390152,Q1000878,Muradiye,,https://database.factgrid.de/entity/Q390152,,Point(43.7634 38.9913),,,,
Q390121,Q10758333,Elmalık,,https://database.factgrid.de/entity/Q390121,,Point(43.3098 38.4119),,,,
Q389654,Q1171924,Daskileion,,https://database.factgrid.de/entity/Q389654,,Point(28.0507 40.1326),,,,
Q389816,Q1183843,Al-Marjab,,https://database.factgrid.de/entity/Q389816,,Point(46.1575 30.8627),,,,
Q390079,Q118995,Muş,,https://database.factgrid.de/entity/Q390079,,Point(41.4794 38.733),,,,
Q389758,Q1195993,Karmir blur,,https://database.factgrid.de/entity/Q389758,,Point(44.4509 40.1529),,,,
Q390070,Q1329616,Dicle Tüneli,,https://database.factgrid.de/entity/Q390070,,Point(40.549 38.5291),,,,
Q389668,Q1344411,Fanagorii͡a,,https://database.factgrid.de/entity/Q389668,,Point(36.9584 45.2759),,,,
Q389656,Q14751553,İnandıktepe,,https://database.factgrid.de/entity/Q389656,,Point(33.5352 40.381),,,,
Q390046,Q1528589,Oylum Höyük,,https://database.factgrid.de/entity/Q390046,,Point(37.1786 36.6988),,,,
Q389606,Q1570185,Hala Sultan Tekes,,https://database.factgrid.de/entity/Q389606,,Point(33.6059 34.8856),,,,
Q389993,Q167993,Ṭabaqat Faḥl,,https://database.factgrid.de/entity/Q389993,,Point(35.613 32.4501),,,,
Q92367,Q174916,Ṭarṭūs,,https://database.factgrid.de/entity/Q92367,,Point(35.8833 34.8833),,,,
Q389622,Q1810451,Tahpanhes,,https://database.factgrid.de/entity/Q389622,,Point(32.1774 30.8579),,,,
Q390004,Q206236,Qā`lah Arbīl,,https://database.factgrid.de/entity/Q390004,,Point(44.0093 36.1913),,,,
Q389615,Q210598,Tanis,,https://database.factgrid.de/entity/Q389615,,Point(31.8845 30.9746),,,,
Q389898,Q2142541,Guzana,,https://database.factgrid.de/entity/Q389898,,Point(40.0399 36.8268),,,,
Q389885,Q21587404,Tell Budayri,,https://database.factgrid.de/entity/Q389885,,Point(40.8136 36.3875),,,,
Q389954,Q21592013,Kar-Assurnazirpal,,https://database.factgrid.de/entity/Q389954,,Point(40.5553 34.9738),,,,
Q389625,Q217379,Tiryns,,https://database.factgrid.de/entity/Q389625,,Point(22.8003 37.5992),,,,
Q389884,Q2390471,Tell Bazi,,https://database.factgrid.de/entity/Q389884,,Point(38.2762 36.4273),,,,
Q389608,Q239107,Edfu,,https://database.factgrid.de/entity/Q389608,,Point(32.8728 24.9782),,,,
Q389648,Q27124611,Tell Damiya,,https://database.factgrid.de/entity/Q389648,,Point(35.5469 32.1038),,,,
Q390134,Q272699,Çavuştepe,,https://database.factgrid.de/entity/Q390134,,Point(43.4619 38.3533),,,,
Q389869,Q2740784,Tell al-Fakhar,,https://database.factgrid.de/entity/Q389869,,Point(43.9799 35.3808),,,,
