Aen (update),Aen2,FG-Q,P2_1,P2_2,P694,matched_token,matched_from_sheet2
uncertain (mod. Maṭār ‘Ammān al-Madanī),Maṭār ‘Ammān al-Madanī,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/669,‘amman,‘amman -> ‘Ammān (nan)
Bit-Adad-eriba (mod. Tall Baqāq),Tall Baqāq,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/690,"adad, baqaq",adad -> Ganjnāmah (uncertain (mod. Abu-Maria) : Apqu-ša-Adad (mod. Tell Abu Marya) : uncertain (mod. Abu-Maria)) | baqaq -> Tell Baqaq (nan)
Dur-Aššur-ketti-lešer (mod. Tall Budayrī),Tall Budayrī,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/694,"assur, budayri, dur","assur -> Assur (Susa (mod. Shush)) | budayri -> Tell Budayri (nan) | dur -> Dur-Kurigalzu (Dilmun (mod. A'ali, Bahrain))"
Kar-Assurnazirpal (mod. Tall Masaikh),Tall Masaikh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/869,assurnazirpal,assurnazirpal -> Kar-Assurnazirpal (nan)
uncertain (mod. Bakr Āwā),Bakr Āwā,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/691,"awa, bakr",awa -> Bakr Awa (nan) | bakr -> Bakr Awa (nan)
Bit-šar-Babili (mod. uncertain),Bit-šar-Babili,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/269,"babili, sar",babili -> Tell Abu Mariya (Bābili (mod. Babylon) : uncertain (mod. Amran)) | sar -> Sar-i Pol-i Zohāb (uncertain (mod. Gherla Romania))
Alu-ša-BAD-MAH-AN (mod. uncertain),Alu-ša-BAD-MAH-AN,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/181,bad,bad -> Abydos (Bad-Tibira (mod. Tell Medinah))
uncertain (mod. Banāt al-Hassan 100),Banāt al-Hassan 100,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/696,"banat, hassan",banat -> Banat al-Hassan (nan) | hassan -> Banat al-Hassan (nan)
uncertain (mod. Banāt al-Hassan 131),Banāt al-Hassan 131,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/697,"banat, hassan",banat -> Banat al-Hassan (nan) | hassan -> Banat al-Hassan (nan)
Per-Bast (mod. Tell Basta),Tell Basta,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/642,bast,bast -> Qa`la Bast (nan)
uncertain (mod. Basṭām),Basṭām,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/709,bastam,bastam -> Bastam (nan)
