Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
Abū Jāmūs,mod. Abū Jāmūs,,uncertain (mod. Abū Jāmūs),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/664,,Q389597,Q393513
Abu Sêcher,mod. Abu Sêcher,,uncertain (mod. Abu Sêcher),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/123,,Q389597,Q393513
Adabilu,,,Adabilu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/362,,Q389597,Q393513
Adilcevaz,mod. Adilcevaz,,uncertain (mod. Adilcevaz),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/659,,Q389597,Q393513
Agamatanu,,,Agamatanu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/56,,Q389597,Q393513
Tripoli,mod. Al Mina,,Tripoli (mod. Al Mina),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/647,,Q389597,Q393513
Äl-Mušēzib-Marduk,mod. Äl-Mušēzib-Marduk,,uncertain (mod. Äl-Mušēzib-Marduk),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1024,,Q389597,Q393513
Al-Rammāḥīyah,mod. Al-Rammāḥīyah,,uncertain (mod. Al-Rammāḥīyah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/911,,Q389597,Q393513
Āl-šarri,,,Āl-šarri (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/445,,Q389597,Q393513
Āl-šarri-ša-qašti-eššeti,Āl-šarri-ša-qašti-eššeti,,Āl-šarri-ša-qašti-eššeti (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/446,,Q389597,Q393513
Alu-binatu,Alu-binatu,,Alu-binatu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/267,,Q389597,Q393513
Alu-eššu,Alu-eššu,,Alu-eššu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/287,,Q389597,Q393513
Ālu-ša-Našar,Ālu-ša-Našar,,Ālu-ša-Našar (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/447,,Q389597,Q393513
Alu-ša-šuma-ukin,Alu-ša-šuma-ukin,,Alu-ša-šuma-ukin (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/203,,Q389597,Q393513
Ālu-ša-Ṭūb-Yāma,Ālu-ša-Ṭūb-Yāma,,Ālu-ša-Ṭūb-Yāma (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/448,,Q389597,Q393513
Alu-šabtu,Alu-šabtu,,Alu-šabtu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/239,,Q389597,Q393513
Apšu,Apšu,,Apšu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1022,,Q389597,Q393513
Aqa,Aqa,,Aqa (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/57,,Q389597,Q393513
Aqabi,mod. Aqabi),,uncertain (mod. Aqabi),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/407,,Q389597,Q393513
Arinçkus,Arzaškun (mod. Arinçkus),,Arzaškun (mod. Arinçkus),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/673,,Q389597,Q393513
Ba-milkišu,Ba-milkišu,,Ba-milkišu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/17,,Q389597,Q393513
Bāb-ṣubbāti,Bāb-ṣubbāti,,Bāb-ṣubbāti (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/366,,Q389597,Q393513
Baḫe,Baḫe,,Baḫe (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/316,,Q389597,Q393513
Bīt-Abī-rām,Bīt-Abī-rām,,Bīt-Abī-rām (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/367,,Q389597,Q393513
Bit-ali-...,Bit-ali-...,,Bit-ali-... (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/127,,Q389597,Q393513
Bīt-Bāba-ēriš,Bīt-Bāba-ēriš,,Bīt-Bāba-ēriš (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/368,,Q389597,Q393513
Bit-bari,Bit-bari,,Bit-bari (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1008,,Q389597,Q393513
Bīt-Dibušiti,Bīt-Dibušiti,,Bīt-Dibušiti (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/369,,Q389597,Q393513
Bīt-Ḫaḫḫūru,Bīt-Ḫaḫḫūru,,Bīt-Ḫaḫḫūru (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1020,,Q389597,Q393513
Bīt-ham...,Bīt-ham...,,Bīt-ham... (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/372,,Q389597,Q393513
Bit-ḫulummu,Bit-ḫulummu,,Bit-ḫulummu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/236,,Q389597,Q393513
Bit-kunanu,Bit-kunanu,,Bit-kunanu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1007,,Q389597,Q393513
Bīt-Našar,Bīt-Našar,,Bīt-Našar (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/370,,Q389597,Q393513
Bīt-Naʾinnašu,Bīt-Naʾinnašu,,Bīt-Naʾinnašu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/371,,Q389597,Q393513
