match_key_type,match_key,factgrid_qid,factgrid_qid_number,source_label,source_aliases_en,source_cdli_id_raw,source_oare_id,source_b_number
b_number,B000002,Q1358936,1358936,Cuneiform Tablet RA 60 123,MP 1 | P361098 | RA 60 123 | Cuneiform Tablet RA 60 123,P361098,8c0d4238-f795-4061-8b3c-8469a66d86d6,B000002
b_number,B000003,Q1359017,1359017,Cuneiform Tablet RA 60 125,MP 1 bis | P361099 | RA 60 125 | Cuneiform Tablet RA 60 125,P361099,bd4b7138-70d5-490d-8234-299b0a75d3a3,B000003
b_number,B000004,Q1359018,1359018,Cuneiform Tablet Or 36 396A.2,TrMA 1 | Or 36 396 n. 2 | P361681 | Cuneiform Tablet Or 36 396A.2,P361681,80547963-f2a2-4d5d-9544-fc7ada60d3b2,B000004
b_number,B000005,Q1359019,1359019,Cuneiform Tablet CCT 6 17a (BM 115099),CCT 6 17a | P290300 | Cuneiform Tablet CCT 6 17a (BM 115099),P290300,2c0d870b-cd5e-fc36-8d81-114ecc7a9ac4,B000005
b_number,B000006,Q1359020,1359020,Cuneiform Tablet BIN 4 112 (NBC 1662),BIN 4 112 | P504745 | P290300 | Cuneiform Tablet BIN 4 112 (NBC 1662),P504745 | P290300,a5419f5c-ab38-4928-f777-aaad7bdd7746,B000006
b_number,B000007,Q1359021,1359021,"Cuneiform Tablet CCT 5, 50f (BM 14377)","CCT 5 50f | BM 14377bis | P315940 | Cuneiform Tablet CCT 5, 50f (BM 14377)",P315940,c485a44b-18f0-46b7-89ad-c9e8ab523a99,B000007
b_number,B000008,Q1359022,1359022,Cuneiform Tablet CCT 1 10a (BM 113571),CCT 1 10a | BM 113571 | P358409 | Cuneiform Tablet CCT 1 10a (BM 113571),P358409,da77e593-329b-45e2-b60f-6ac27e4486ae,B000008
b_number,B000009,Q1359023,1359023,Cuneiform Tablet CCT 1 10b-11a (BM 113576a),CCT 1 10b-11a | BM 113576a | P358410 | Cuneiform Tablet CCT 1 10b-11a (BM 113576a),P358410,0ed32636-9e93-f4e7-8562-b74d6ca55989,B000009
b_number,B000010,Q1359024,1359024,Cuneiform Tablet CCT 1 11b (BM 113574a),CCT 1 11b | BM 113574a | P358411 | Cuneiform Tablet CCT 1 11b (BM 113574a),P358411,d4142f7c-9798-359f-df45-e15113bb7d7a,B000010
b_number,B000011,Q1359025,1359025,Cuneiform Tablet CCT 1 12a (BM 113436),CCT 1 12a | BM 113436 | P358412 | Cuneiform Tablet CCT 1 12a (BM 113436),P358412,191dc6c3-3b01-e165-61d4-9ffa762142d6,B000011
b_number,B000012,Q1359026,1359026,Cuneiform Tablet CCT 1 12b (BM 113545),CCT 1 12b | BM 113545 | P358413 | Cuneiform Tablet CCT 1 12b (BM 113545),P358413,c1087b70-bec1-8697-3461-cbc676d59a71,B000012
b_number,B000013,Q1359027,1359027,Cuneiform Tablet CCT 1 13a (BM 113505),CCT 1 13a | BM 113505 | P358414 | Cuneiform Tablet CCT 1 13a (BM 113505),P358414,2dc4ae35-c637-3a0b-ff7c-935ad1de5191,B000013
b_number,B000014,Q1359028,1359028,Cuneiform Tablet CCT 1 13b (BM 113535),CCT 1 13b | BM 113535 | P358415 | Cuneiform Tablet CCT 1 13b (BM 113535),P358415,bcf16e38-87fa-cb78-cba7-47f95ebb8c14,B000014
b_number,B000015,Q1359029,1359029,Cuneiform Tablet CCT 1 14a (BM 113420),CCT 1 14a | BM 113420 | P358416 | Cuneiform Tablet CCT 1 14a (BM 113420),P358416,1ace505a-2a0a-2842-db03-2439f1692b3d,B000015
