write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note
ready,273286,P273286,Q2166396,Anonymous 273286 unpublished unassigned ?,Cuneiform Tablet P273286,CDLI artifact: tablet; modern; held by anonymous; CDLI P273286,P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,274851,P274851,Q2166170,Anonymous 274851 unpublished unassigned ?,Cuneiform Tablet P274851,CDLI artifact: tablet; modern; held by anonymous; CDLI P274851,P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,389355,P389355,Q2170141,"AfO 08, 173 P034","Cuneiform Tablet AfO 08, 173 P034","CDLI artifact: tablet; modern; held by de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands; CDLI P389355",P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,416519,P416519,Q2169919,LLIU —,Cuneiform Tablet LLIU —,"CDLI artifact: tablet; modern; held by Lilly Library, Indiana University, Bloomington, Indiana, USA; CDLI P416519",P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,537599,P537599,Q2168938,CDLI Seals 016890 (physical),Cuneiform Artifact CDLI Seals 016890 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P537599",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,537608,P537608,Q2170037,CDLI Seals 016899 (physical),Cuneiform Artifact CDLI Seals 016899 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P537608",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,537960,P537960,Q2169323,CDLI Seals 017135 (physical),Cuneiform Artifact CDLI Seals 017135 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Louvre Museum, Paris, France; CDLI P537960",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538103,P538103,Q1364190,CDLI Seals 017278 (physical),Cuneiform Artifact CDLI Seals 017278 (physical),"CDLI artifact: Cylinder seal; ED I-II; held by Louvre Museum, Paris, France; CDLI P538103",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538115,P538115,Q2162657,CDLI Seals 017290 (physical),Cuneiform Artifact CDLI Seals 017290 (physical),"CDLI artifact: Cylinder seal; ED IIIb; held by Louvre Museum, Paris, France; CDLI P538115",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538154,P538154,Q2166088,CDLI Seals 017329 (physical),Cuneiform Artifact CDLI Seals 017329 (physical),"CDLI artifact: Cylinder seal; from Girsu (mod. Tello); ED I-II; held by Louvre Museum, Paris, France; CDLI P538154",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538206,P538206,Q2164686,CDLI Seals 017381 (physical),Cuneiform Artifact CDLI Seals 017381 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Louvre Museum, Paris, France; CDLI P538206",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538251,P538251,Q2162885,CDLI Seals 017426 (physical),Cuneiform Artifact CDLI Seals 017426 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Louvre Museum, Paris, France; CDLI P538251",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538292,P538292,Q2167506,CDLI Seals 017467 (physical),Cuneiform Artifact CDLI Seals 017467 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Louvre Museum, Paris, France; CDLI P538292",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538338,P538338,Q2167407,CDLI Seals 017513 (physical),Cuneiform Artifact CDLI Seals 017513 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Louvre Museum, Paris, France; CDLI P538338",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,538343,P538343,Q2164479,CDLI Seals 017518 (physical),Cuneiform Artifact CDLI Seals 017518 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Louvre Museum, Paris, France; CDLI P538343",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539483,P539483,Q2167224,CDLI Seals 018603 (physical),Cuneiform Artifact CDLI Seals 018603 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539483",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539505,P539505,Q2162237,CDLI Seals 018625 (physical),Cuneiform Artifact CDLI Seals 018625 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539505",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539529,P539529,Q2167132,CDLI Seals 018649 (physical),Cuneiform Artifact CDLI Seals 018649 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIb; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539529",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539552,P539552,Q2164173,CDLI Seals 018672 (physical),Cuneiform Artifact CDLI Seals 018672 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539552",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539568,P539568,Q2169472,CDLI Seals 018688 (physical),Cuneiform Artifact CDLI Seals 018688 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539568",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539587,P539587,Q2169306,CDLI Seals 018707 (physical),Cuneiform Artifact CDLI Seals 018707 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539587",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539591,P539591,Q2021092,CDLI Seals 018711 (physical),Cuneiform Artifact CDLI Seals 018711 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539591",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539600,P539600,Q2165554,CDLI Seals 018720 (physical),Cuneiform Artifact CDLI Seals 018720 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539600",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539616,P539616,Q2170257,CDLI Seals 018736 (physical),Cuneiform Artifact CDLI Seals 018736 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539616",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,539641,P539641,Q2152753,CDLI Seals 018761 (physical),Cuneiform Artifact CDLI Seals 018761 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by J. Pierpont Morgan Library Collection, New York, New York, USA; CDLI P539641",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,540298,P540298,Q2158909,CDLI Seals 019479 (physical),Cuneiform Artifact CDLI Seals 019479 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P540298",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,540308,P540308,Q2163832,CDLI Seals 019489 (physical),Cuneiform Artifact CDLI Seals 019489 (physical),"CDLI artifact: Cylinder seal; Old Akkadian; held by Metropolitan Museum of Art, New York, New York, USA; CDLI P540308",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,540975,P540975,Q2162135,CDLI Seals 020099 (physical),Cuneiform Artifact CDLI Seals 020099 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED IIIa; held by National Museum of Iraq, Baghdad, Iraq; CDLI P540975",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,541165,P541165,Q2168016,CDLI Seals 020300 (physical),Cuneiform Artifact CDLI Seals 020300 (physical),"CDLI artifact: Cylinder seal; from Ur (mod. Tell Muqayyar); Old Akkadian; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P541165",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
