write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note,new_claim_id,write_error
written,273286,P273286,Q2166396,Anonymous 273286 unpublished unassigned ?,Cuneiform Tablet P273286,CDLI artifact: tablet; modern; held by anonymous; CDLI P273286,P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166396$CBEAF67F-8BA4-4AFE-A756-A9DAB88D60D0,
written,274851,P274851,Q2166170,Anonymous 274851 unpublished unassigned ?,Cuneiform Tablet P274851,CDLI artifact: tablet; modern; held by anonymous; CDLI P274851,P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166170$830077EE-8442-45ED-AC1F-070B16EC96B8,
written,389355,P389355,Q2170141,"AfO 08, 173 P034","Cuneiform Tablet AfO 08, 173 P034","CDLI artifact: tablet; modern; held by de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands; CDLI P389355",P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2170141$6A3FDBB2-3619-4590-A8F8-E8D0C8564F28,
written,416519,P416519,Q2169919,LLIU —,Cuneiform Tablet LLIU —,"CDLI artifact: tablet; modern; held by Lilly Library, Indiana University, Bloomington, Indiana, USA; CDLI P416519",P853,Q1349999,modern,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2169919$48B2ACC2-BAF5-499C-BE72-FF389C753E75,
written,537599,P537599,Q2168938,CDLI Seals 016890 (physical),Cuneiform Artifact CDLI Seals 016890 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P537599",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2168938$E106E7EA-0CB5-43EE-97A9-E74230915537,
error,537608,P537608,Q2170037,CDLI Seals 016899 (physical),Cuneiform Artifact CDLI Seals 016899 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P537608",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
written,537960,P537960,Q2169323,CDLI Seals 017135 (physical),Cuneiform Artifact CDLI Seals 017135 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); Old Akkadian; held by Louvre Museum, Paris, France; CDLI P537960",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2169323$F5E23C50-4FCD-485D-B3A4-37D0C5F8DB17,
written,538103,P538103,Q1364190,CDLI Seals 017278 (physical),Cuneiform Artifact CDLI Seals 017278 (physical),"CDLI artifact: Cylinder seal; ED I-II; held by Louvre Museum, Paris, France; CDLI P538103",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q1364190$DE1103EE-159E-40DB-80BD-ACA1E3FA7FE0,
written,538115,P538115,Q2162657,CDLI Seals 017290 (physical),Cuneiform Artifact CDLI Seals 017290 (physical),"CDLI artifact: Cylinder seal; ED IIIb; held by Louvre Museum, Paris, France; CDLI P538115",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2162657$5728EF2F-93EF-4501-8C3F-6742D25B66A4,
written,538154,P538154,Q2166088,CDLI Seals 017329 (physical),Cuneiform Artifact CDLI Seals 017329 (physical),"CDLI artifact: Cylinder seal; from Girsu (mod. Tello); ED I-II; held by Louvre Museum, Paris, France; CDLI P538154",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.,Q2166088$87572FF8-3D50-4A70-9613-D38FFE3A24A2,
