audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,115802,Q2165607,,"Cuneiform Tablet MVN 09, 159","CDLI artifact: tablet; from uncertain (mod. uncertain); held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P115802",,,,,,P115802
no_expected_no_live,227658,Q2169068,,"Cuneiform Artifact PBS 11/3, 078","CDLI artifact: prism; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P227658",,,,,,P227658
no_expected_no_live,229596,Q1937608,,"Cuneiform Tablet MSL 13, 040 B","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",,,,,,P229596
no_expected_no_live,229607,Q1937644,,"Cuneiform Tablet MSL 13, 041, CBS 10294","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P229607
no_expected_no_live,229781,Q894455,,Cuneiform Tablet HS 1645,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,,,,,,P229781
no_expected_no_live,229892,Q894588,,Cuneiform Tablet HS 1688,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,,,,,,P229892
no_expected_no_live,229938,Q894566,,Cuneiform Tablet HS 1768,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,,,,,,P229938
no_expected_no_live,229943,Q2063736,,Cuneiform Tablet HS 1773,"Lexical tablet from an unspecified location, dated to an unspecified period and currently held in the hilprecht collection, university of jena, germany.",,,,,,P229943
no_expected_no_live,229980,Q893863,,Cuneiform Tablet HS 1825,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,,,,,,P229980
no_expected_no_live,230076,Q2066277,,Cuneiform Tablet Ist Ni 03355,"Lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",,,,,,P230076
no_expected_no_live,230099,Q2066338,,Cuneiform Tablet Ist Ni 05143,"Lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",,,,,,P230099
no_expected_no_live,230148,Q2048132,,"Cuneiform Tablet TMN p. 330, Ist Ni 03179","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",,,,,,P230148
no_expected_no_live,230172,Q2169918,,"Cuneiform Artifact PBS 11/3, 070","CDLI artifact: prism; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P230172",,,,,,P230172
no_expected_no_live,230261,Q2059547,,Cuneiform Tablet UM 55-21-272,"Lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P230261
no_expected_no_live,230324,Q2003348,,"Cuneiform Tablet PBS 11/2, 029","Lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P230324
no_expected_no_live,230518,Q2018860,,Cuneiform Tablet CBS 13128,"Sumerian lexical tablet from an unspecified location, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P230518
no_expected_no_live,230563,Q2059422,,Cuneiform Tablet UM 29-16-575,"Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P230563
no_expected_no_live,230631,Q2059235,,Cuneiform Tablet UM 29-15-424,"Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.",,,,,,P230631
no_expected_no_live,231759,Q2048146,,"Cuneiform Tablet TMN p. 337, Ist Ni 03711","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",,,,,,P231759
no_expected_no_live,247864,Q2033369,,"Cuneiform Tablet CM 22, pl. 36-37","Lexical tablet from an unspecified location, dated to an unspecified period and currently held in the national museum of iraq, baghdad, iraq.",,,,,,P247864
no_expected_no_live,248380,Q2164618,,Cuneiform Tablet HMA 9-02884,"CDLI artifact: tablet; held by Hearst Museum of Anthropology, University of California at Berkeley, Berkeley, California, USA; CDLI P248380",,,,,,P248380
no_expected_no_live,248569,Q2154344,,Cuneiform Tablet HMA unident07,"CDLI artifact: tablet; held by Hearst Museum of Anthropology, University of California at Berkeley, Berkeley, California, USA; CDLI P248569",,,,,,P248569
no_expected_no_live,250323,Q2025049,,Cuneiform Tablet AUAM 73.3308a,"CDLI artifact: tablet; held by Siegfried H. Horn Museum, Institute of Archaeology, Andrews University, Berrien Springs, Michigan, USA; CDLI P250323",,,,,,P250323
no_expected_no_live,252164,Q2149592,,Cuneiform Tablet MS 3153,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Schøyen Collection, Oslo, Norway; CDLI P252164",,,,,,P252164
no_expected_no_live,256721,Q2164912,,Cuneiform Tablet UM 29-16-124,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P256721",,,,,,P256721
no_expected_no_live,256776,Q2162617,,Cuneiform Artifact UM 29-16-196,"CDLI artifact: sealing; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P256776",,,,,,P256776
no_expected_no_live,257327,Q2165286,,Cuneiform Artifact UM 55-21-137,"CDLI artifact: Vessel; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P257327",,,,,,P257327
no_expected_no_live,260306,Q2164225,,"Cuneiform Tablet PBS 14, 0105","CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P260306",,,,,,P260306
no_expected_no_live,260701,Q2162275,,Cuneiform Tablet CBS 04384,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P260701",,,,,,P260701
no_expected_no_live,260869,Q2163034,,Cuneiform Tablet CBS 04555,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P260869",,,,,,P260869
no_expected_no_live,261096,Q2167542,,Cuneiform Tablet CBS 04900,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261096",,,,,,P261096
no_expected_no_live,261203,Q2170080,,Cuneiform Artifact CDLI Seals 000617 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261203",,,,,,P261203
no_expected_no_live,261215,Q2165754,,Cuneiform Artifact CDLI Seals 000629 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261215",,,,,,P261215
no_expected_no_live,261242,Q2167702,,Cuneiform Artifact CDLI Seals 000656 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261242",,,,,,P261242
no_expected_no_live,261254,Q2158301,,Cuneiform Artifact CDLI Seals 000668 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261254",,,,,,P261254
no_expected_no_live,261281,Q2162911,,Cuneiform Artifact CDLI Seals 000695 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261281",,,,,,P261281
no_expected_no_live,261307,Q2168525,,Cuneiform Artifact CDLI Seals 000721 (physical),"CDLI artifact: Stamp seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261307",,,,,,P261307
no_expected_no_live,261311,Q2164738,,Cuneiform Artifact CDLI Seals 000725 (physical),"CDLI artifact: Stamp seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261311",,,,,,P261311
no_expected_no_live,261645,Q2165614,,Cuneiform Artifact CDLI Seals 000736 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261645",,,,,,P261645
no_expected_no_live,261653,Q2170191,,Cuneiform Artifact CDLI Seals 000744 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261653",,,,,,P261653
no_expected_no_live,261700,Q2165981,,Cuneiform Tablet CBS 05507,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261700",,,,,,P261700
no_expected_no_live,261741,Q2161758,,Cuneiform Tablet CBS 05548,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261741",,,,,,P261741
no_expected_no_live,261757,Q1368819,,Cuneiform Tablet CBS 05564,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261757",,,,,,P261757
no_expected_no_live,261813,Q2162283,,Cuneiform Tablet CBS 05620,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261813",,,,,,P261813
no_expected_no_live,261844,Q2164099,,Cuneiform Tablet CBS 05651,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261844",,,,,,P261844
no_expected_no_live,261901,Q2165084,,Cuneiform Tablet CBS 05708,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261901",,,,,,P261901
no_expected_no_live,261956,Q2162504,,Cuneiform Tablet CBS 05763,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P261956",,,,,,P261956
no_expected_no_live,262340,Q2167233,,Cuneiform Artifact CDLI Seals 000785 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P262340",,,,,,P262340
no_expected_no_live,262439,Q2165430,,Cuneiform Tablet CBS 07438,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P262439",,,,,,P262439
no_expected_no_live,262442,Q2163680,,Cuneiform Tablet CBS 07441,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P262442",,,,,,P262442
no_expected_no_live,262710,Q2167078,,Cuneiform Tablet CBS 07700A,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P262710",,,,,,P262710
no_expected_no_live,262878,Q1367471,,Cuneiform Tablet CBS 07918,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P262878",,,,,,P262878
no_expected_no_live,263438,Q2162616,,Cuneiform Tablet CBS 08640,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263438",,,,,,P263438
no_expected_no_live,263697,Q2166079,,Cuneiform Tablet CBS 08881b,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263697",,,,,,P263697
no_expected_no_live,263746,Q2163046,,Cuneiform Artifact CDLI Seals 000817 (physical),"CDLI artifact: Cylinder seal; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263746",,,,,,P263746
no_expected_no_live,263785,Q2167675,,Cuneiform Artifact CDLI Seals 000845 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263785",,,,,,P263785
no_expected_no_live,263793,Q2158377,,Cuneiform Artifact CDLI Seals 000853 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263793",,,,,,P263793
no_expected_no_live,263802,Q2167109,,Cuneiform Artifact CDLI Seals 000862 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263802",,,,,,P263802
no_expected_no_live,263910,Q2047087,,Cuneiform Tablet CBS 06145,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263910",,,,,,P263910
no_expected_no_live,263947,Q2166890,,Cuneiform Tablet CBS 06279,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P263947",,,,,,P263947
no_expected_no_live,264040,Q2167688,,Cuneiform Tablet CBS 06376,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P264040",,,,,,P264040
no_expected_no_live,264200,Q2164700,,"Cuneiform Tablet PBS 14, 1069","CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P264200",,,,,,P264200
no_expected_no_live,264406,Q2156240,,Cuneiform Artifact CBS 06994,"CDLI artifact: bulla; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P264406",,,,,,P264406
no_expected_no_live,264410,Q2167826,,"Cuneiform Artifact PBS 14, 0044","CDLI artifact: bulla; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P264410",,,,,,P264410
no_expected_no_live,264715,Q2164624,,Cuneiform Artifact CDLI Seals 000891 (physical),"CDLI artifact: Stamp seal; from uncertain (mod. uncertain); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P264715",,,,,,P264715
no_expected_no_live,265368,Q2163215,,Cuneiform Tablet CBS 10105,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P265368",,,,,,P265368
no_expected_no_live,265503,Q2162254,,Cuneiform Artifact CBS 10268,"CDLI artifact: brick; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P265503",,,,,,P265503
no_expected_no_live,265578,Q2144702,,Cuneiform Tablet CBS 10354,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P265578",,,,,,P265578
no_expected_no_live,265807,Q2164636,,Cuneiform Tablet CBS 10605,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P265807",,,,,,P265807
no_expected_no_live,265893,Q2166602,,Cuneiform Tablet CBS 10688a,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P265893",,,,,,P265893
no_expected_no_live,266354,Q2063672,,Cuneiform Tablet CBS 11192a,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P266354",,,,,,P266354
no_expected_no_live,267284,Q2166421,,Cuneiform Tablet CBS 12646,"CDLI artifact: tablet; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P267284",,,,,,P267284
no_expected_no_live,267640,Q2163734,,Cuneiform Artifact CBS 12037,"CDLI artifact: vase; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P267640",,,,,,P267640
no_expected_no_live,268999,Q2160597,,Cuneiform Tablet CBS 13417,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P268999",,,,,,P268999
no_expected_no_live,269019,Q2166696,,Cuneiform Tablet CBS 13437,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269019",,,,,,P269019
no_expected_no_live,269058,Q2169056,,Cuneiform Tablet CBS 14037,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269058",,,,,,P269058
no_expected_no_live,269222,Q2167891,,"Cuneiform Artifact PBS 14, 0026","CDLI artifact: bulla; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269222",,,,,,P269222
no_expected_no_live,269263,Q2170186,,Cuneiform Artifact CDLI Seals 000972 (physical),"CDLI artifact: Cylinder seal; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269263",,,,,,P269263
no_expected_no_live,269275,Q2165653,,Cuneiform Artifact CDLI Seals 000984 (physical),"CDLI artifact: Cylinder seal; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269275",,,,,,P269275
no_expected_no_live,269330,Q2165993,,Cuneiform Artifact CDLI Seals 001035 (physical),"CDLI artifact: Stamp seal; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269330",,,,,,P269330
no_expected_no_live,269367,Q1932806,,Cuneiform Artifact CDLI Seals 001064 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269367",,,,,,P269367
no_expected_no_live,269388,Q2167618,,Cuneiform Artifact CDLI Seals 001076 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269388",,,,,,P269388
no_expected_no_live,269408,Q2168898,,Cuneiform Artifact CDLI Seals 001096 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269408",,,,,,P269408
no_expected_no_live,269432,Q2164834,,Cuneiform Artifact CDLI Seals 001120 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269432",,,,,,P269432
no_expected_no_live,269449,Q2166565,,Cuneiform Artifact CDLI Seals 001136 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269449",,,,,,P269449
no_expected_no_live,269465,Q2162809,,Cuneiform Artifact CDLI Seals 001152 (physical),"CDLI artifact: Cylinder seal; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269465",,,,,,P269465
no_expected_no_live,269625,Q2165818,,Cuneiform Tablet CBS 15048,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P269625",,,,,,P269625
no_expected_no_live,270054,Q2165682,,Cuneiform Tablet CBS 16104,"CDLI artifact: tablet; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P270054",,,,,,P270054
no_expected_no_live,270150,Q2160761,,Cuneiform Artifact CBS 16562,"CDLI artifact: brick; from Ur (mod. Tell Muqayyar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P270150",,,,,,P270150
no_expected_no_live,270185,Q2163920,,Cuneiform Artifact CDLI Seals 001274 (physical),"CDLI artifact: Cylinder seal; from Ur (mod. Tell Muqayyar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P270185",,,,,,P270185
no_expected_no_live,270238,Q2166661,,Cuneiform Artifact CDLI Seals 001302 (physical),"CDLI artifact: Cylinder seal; from Ur (mod. Tell Muqayyar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P270238",,,,,,P270238
