repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,10165,P010165,Q2167067,"OIP 099, 183","Cuneiform Tablet OIP 099, 183","CDLI artifact: tablet; from uncertain (mod. Abu Salabikh); ED IIIa; held by National Museum of Iraq, Baghdad, Iraq; CDLI P010165",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,213887,P213887,Q2166128,"ITT 2, 02825","Cuneiform Tablet ITT 2, 02825","CDLI artifact: tablet; from Girsu (mod. Tello); Old Akkadian; held by Arkeoloji Müzeleri, Istanbul, Turkey; CDLI P213887",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,215050,P215050,Q2166524,"MAD 1, 115","Cuneiform Tablet MAD 1, 115","CDLI artifact: tablet; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P215050",P853,Q512146,Lagash II Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,247673,P247673,Q2163525,"RIME 1.09.09.12, ex. 01","Cuneiform Artifact RIME 1.09.09.12, ex. 01","CDLI artifact: bulla; from Girsu (mod. Tello); ED IIIb; held by Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey; CDLI P247673",P853,Q512150,Early Old Babylonian Period,ED IIIb,Q512142,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,275702,P275702,Q2164246,N 0503,Cuneiform Tablet N 0503,"CDLI artifact: tablet; from Nippur (mod. Nuffar); Old Akkadian; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P275702",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,332978,P332978,Q2163316,LinElam X,Cuneiform Artifact LinElam X,CDLI artifact: vase; Linear Elamite; CDLI P332978,P853,Q512146,Lagash II Period,Linear Elamite Period,Q512145,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,432380,P432380,Q2163260,CDLI Seals 006363 (physical),Cuneiform Artifact CDLI Seals 006363 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Weingreen Museum of Biblical Antiquities, Trinity College, Dublin, Ireland; CDLI P432380",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,449334,P449334,Q2165999,CUNES 49-03-362,Cuneiform Tablet CUNES 49-03-362,"CDLI artifact: tablet; Old Akkadian; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P449334",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,472967,P472967,Q2167323,CDLI Seals 006712 (physical),Cuneiform Artifact CDLI Seals 006712 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Ashmolean Museum, Oxford, UK; CDLI P472967",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,476027,P476027,Q2167803,CDLI Seals 009286 (physical),Cuneiform Artifact CDLI Seals 009286 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Département des Monnaies, Médailles et Antiques, Bibliothèque Nationale, Paris, France; CDLI P476027",P853,Q512148,Ur III Period,ED I-II,Q512137,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,477636,P477636,Q2162544,CDLI Seals 010895 (physical),Cuneiform Artifact CDLI Seals 010895 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Allard Pierson Museum, University of Amsterdam, Amsterdam, Holland; CDLI P477636",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,5737,P005737,Q2164096,"UET 2, 0154","Cuneiform Tablet UET 2, 0154","CDLI artifact: tablet; from Ur (mod. Tell Muqayyar); ED I-II; held by British Museum, London, UK; CDLI P005737",P853,Q512154,Middle Babylonian Period,ED I-II,Q512137,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
