repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,111046,P111046,Q2162671,"TCTI 3, 04924","Cuneiform Tablet TCTI 3, 04924",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,119476,P119476,Q2163493,"MVN 16, 1428","Cuneiform Tablet MVN 16, 1428",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,122376,P122376,Q2167305,"NRVN 1, 160","Cuneiform Tablet NRVN 1, 160",,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,125519,P125519,Q2168033,"PDT 1, 0103","Cuneiform Tablet PDT 1, 0103",,P853,Q512151,Old Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,126335,P126335,Q2163027,"PDT 2, 0989","Cuneiform Tablet PDT 2, 0989",,P853,Q512150,Early Old Babylonian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,128281,P128281,Q2165872,Rochester 176,Cuneiform Tablet Rochester 176,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,132726,P132726,Q2163450,"TCTI 2, 03497","Cuneiform Tablet TCTI 2, 03497",,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,133567,P133567,Q2165678,TÉL 059,Cuneiform Tablet TÉL 059,,P853,Q512155,Middle Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,141658,P141658,Q2167001,"UTI 6, 3661","Cuneiform Tablet UTI 6, 3661",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,1774,P001774,Q2166039,"ATU 6, pl. 011, W 10931","Cuneiform Tablet ATU 6, pl. 011, W 10931",,P853,Q512150,Early Old Babylonian Period,Uruk IV Period,Q512132,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,205953,P205953,Q2165257,BM 025402,Cuneiform Tablet BM 025402,,P853,Q512152,Old Babylonian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,211013,P211013,Q2163583,YBC 15247,Cuneiform Tablet YBC 15247,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,223162,P223162,Q2164226,"TIM 03, 045","Cuneiform Tablet TIM 03, 045",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,227121,P227121,Q2165971,"RIME 3/2.01.02.003, ex. 18","Cuneiform Artifact RIME 3/2.01.02.003, ex. 18",,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,232773,P232773,Q2162395,"RIME 3/1.01.07.037, ex. 0022","Cuneiform Artifact RIME 3/1.01.07.037, ex. 0022",,P853,Q512150,Early Old Babylonian Period,Lagash II Period,Q512146,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,233162,P233162,Q2167922,"RIME 3/1.01.07.037, ex. 0411","Cuneiform Artifact RIME 3/1.01.07.037, ex. 0411",,P853,Q512148,Ur III Period,Lagash II Period,Q512146,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,233532,P233532,Q2165336,"RIME 3/1.01.07.037, ex. 0781","Cuneiform Artifact RIME 3/1.01.07.037, ex. 0781",,P853,Q512150,Early Old Babylonian Period,Lagash II Period,Q512146,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,233861,P233861,Q2163127,"RIME 3/1.01.07.037, ex. 1110","Cuneiform Artifact RIME 3/1.01.07.037, ex. 1110",,P853,Q512148,Ur III Period,Lagash II Period,Q512146,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,237571,P237571,Q2164815,BM 099274,Cuneiform Tablet BM 099274,,P853,Q512152,Old Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,239996,P239996,Q2164277,K 21017,Cuneiform Tablet K 21017,,P853,Q512150,Early Old Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,242471,P242471,Q2163805,"ARET 03, 278","Cuneiform Tablet ARET 03, 278",,P853,Q512148,Ur III Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,242888,P242888,Q2168493,"ARET 03, 692","Cuneiform Tablet ARET 03, 692",,P853,Q512146,Lagash II Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,242922,P242922,Q2166289,"ARET 03, 726","Cuneiform Tablet ARET 03, 726",,P853,Q512148,Ur III Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,243630,P243630,Q2166546,"ARET 12, 0415","Cuneiform Tablet ARET 12, 0415",,P853,Q512158,Neo-Assyrian Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,246432,P246432,Q2165527,NMSI —,Cuneiform Tablet P246432,,P853,Q512152,Old Babylonian Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,246961,P246961,Q2163141,"ARET 08, 21","Cuneiform Tablet ARET 08, 21",,P853,Q512158,Neo-Assyrian Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,247389,P247389,Q2163778,NMSI —,Cuneiform Tablet P247389,,P853,Q512148,Ur III Period,Ebla Period,Q512143,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,249397,P249397,Q2167663,"AUCT 5, 172","Cuneiform Tablet AUCT 5, 172",,P853,Q512150,Early Old Babylonian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,2508,P002508,Q2163397,"IM 023447,?1","Cuneiform Tablet IM 023447,?1",,P853,Q512150,Early Old Babylonian Period,Uruk III Period,Q512134,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,252471,P252471,Q2168175,"MSCT 16, 108","Cuneiform Tablet MSCT 16, 108",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,252888,P252888,Q2164862,MS 3850/3,Cuneiform Tablet MS 3850/3,,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
