repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note
ready,283904,Q1372698,Cuneiform Tablet KUG 47,P853,Q512151,Old Assyrian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,302422,Q2163993,"Cuneiform Tablet YOS 21, 209",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,314427,Q2165697,"Cuneiform Tablet CT 55, 036",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,314470,Q2167797,"Cuneiform Tablet CT 55, 079",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,314630,Q2164869,"Cuneiform Tablet CT 55, 239",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,314667,Q2162711,"Cuneiform Tablet CT 55, 276",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,314827,Q2170614,"Cuneiform Tablet CT 55, 435",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,315021,Q2165158,"Cuneiform Tablet CT 55, 628",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,345582,Q2165689,"Cuneiform Tablet CT 44, 77",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,366470,Q2169789,"Cuneiform Tablet CT 56, 155",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,366759,Q2154397,"Cuneiform Tablet CT 56, 444",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,367261,Q2169501,"Cuneiform Tablet CT 57, 0120a",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,367627,Q2147703,"Cuneiform Tablet CT 57, 0485",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,367631,Q2169374,"Cuneiform Tablet CT 57, 0489",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,368141,Q2164986,"Cuneiform Tablet CT 57, 1002",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371360,Q2165103,"Cuneiform Tablet VS 03, 071",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371419,Q2163289,"Cuneiform Tablet VS 03, 130",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371435,Q2168416,"Cuneiform Tablet VS 03, 143",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371589,Q2168221,"Cuneiform Tablet VS 04, 065",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371622,Q2162166,"Cuneiform Tablet VS 04, 098",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371659,Q2143894,"Cuneiform Tablet VS 04, 136",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371675,Q2164287,"Cuneiform Tablet VS 04, 152",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371788,Q2162201,"Cuneiform Tablet VS 05, 054",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371823,Q2167770,"Cuneiform Tablet VS 05, 089",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371835,Q2157353,"Cuneiform Tablet VS 05, 101",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,371862,Q2170021,"Cuneiform Tablet VS 05, 128",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,372059,Q2164570,"Cuneiform Tablet VS 06, 164",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
