repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,283904,Q1372698,Cuneiform Tablet KUG 47,P853,Q512151,Old Assyrian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q1372698$587404EF-8E99-4BD7-80DB-BCDC0ECD7192,Q1372698$33ACD4D5-E009-4337-A7A7-C5EEAA5DC7C9,written,
ready,302422,Q2163993,"Cuneiform Tablet YOS 21, 209",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2163993$5BB52BC4-EFB7-4CC3-954C-9834EAA6C55E,Q2163993$D01CE2A0-7AD4-45F5-BFE5-45740A3E3063,written,
ready,314427,Q2165697,"Cuneiform Tablet CT 55, 036",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165697$A2EDC9B4-9A29-4C06-AB9C-BE99D34FE361,Q2165697$732D3434-A9B9-4061-85CF-B1E0D2A778DA,written,
ready,314470,Q2167797,"Cuneiform Tablet CT 55, 079",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167797$0A6C6C55-F228-42BA-85B7-1F7A149A7A0A,Q2167797$B0453284-1242-4F3E-B001-05A78F7D71F1,written,
ready,314630,Q2164869,"Cuneiform Tablet CT 55, 239",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164869$56ED4CF9-E87A-4209-9F46-9FF8D9B7C6EE,Q2164869$B9CAAAA5-6949-482C-954F-8BB2B8AD6816,written,
ready,314667,Q2162711,"Cuneiform Tablet CT 55, 276",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2162711$2B4B9CBC-63CE-4E18-BB19-C8DB7DE10070,Q2162711$5CCB2C84-AF04-4632-9EAB-BB7C7AC5BFA9,written,
ready,314827,Q2170614,"Cuneiform Tablet CT 55, 435",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2170614$9DFAE439-893A-4720-99B5-0D0BE6DB8712,Q2170614$CD69A317-2952-43CE-B660-1BC260412E74,written,
ready,315021,Q2165158,"Cuneiform Tablet CT 55, 628",P853,Q512161,Neo-Babylonian Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165158$E62302E5-CDEC-4158-A975-1A3FD7EDDC22,Q2165158$AC2A6B1A-E40B-41CC-B200-510A685B507C,written,
ready,345582,Q2165689,"Cuneiform Tablet CT 44, 77",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2165689$83514A62-9160-4B97-B259-EB7877844EF8,Q2165689$AB3189E3-0BCF-4523-90FC-E5EF82E57DB2,written,
ready,366470,Q2169789,"Cuneiform Tablet CT 56, 155",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2169789$4D3F7944-5C80-4951-8443-BAE7F2E123B0,Q2169789$0E3EC020-F4EE-4AED-8EC4-5371B2271E4F,written,
