repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,10165,P010165,Q2167067,"OIP 099, 183","Cuneiform Tablet OIP 099, 183","CDLI artifact: tablet; from uncertain (mod. Abu Salabikh); ED IIIa; held by National Museum of Iraq, Baghdad, Iraq; CDLI P010165",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167067$8D5528FB-76A0-476E-9E0B-ABEA7F123BEF,Q2167067$DD83584E-4DC9-44BA-BD61-D47AE4CEF92A,written,
ready,213887,P213887,Q2166128,"ITT 2, 02825","Cuneiform Tablet ITT 2, 02825","CDLI artifact: tablet; from Girsu (mod. Tello); Old Akkadian; held by Arkeoloji Müzeleri, Istanbul, Turkey; CDLI P213887",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166128$6B0CC7B9-121F-478A-8B70-9E84733BBD8E,Q2166128$44325004-B48B-4BFA-A3CC-DE12B30B81B6,written,
ready,215050,P215050,Q2166524,"MAD 1, 115","Cuneiform Tablet MAD 1, 115","CDLI artifact: tablet; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P215050",P853,Q512146,Lagash II Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166524$00F70FF9-BFB8-4B0E-A2E9-19726DE2CDBB,Q2166524$64810A64-B172-4A89-BBBC-EDFD5098435D,written,
ready,247673,P247673,Q2163525,"RIME 1.09.09.12, ex. 01","Cuneiform Artifact RIME 1.09.09.12, ex. 01","CDLI artifact: bulla; from Girsu (mod. Tello); ED IIIb; held by Eski Şark Eserleri Müzesi, Arkeoloji Müzeleri, Istanbul, Turkey; CDLI P247673",P853,Q512150,Early Old Babylonian Period,ED IIIb,Q512142,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163525$4F1DEFEA-A463-4723-B3E2-0060876B2D9A,Q2163525$E0CEDE4C-6CC2-4F7D-96E0-33EDB178AAEA,written,
ready,275702,P275702,Q2164246,N 0503,Cuneiform Tablet N 0503,"CDLI artifact: tablet; from Nippur (mod. Nuffar); Old Akkadian; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P275702",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2164246$908277EA-74F7-43AD-B441-B8384639040F,Q2164246$A5449D97-0EA5-4906-A890-1F5C6C018D00,written,
ready,332978,P332978,Q2163316,LinElam X,Cuneiform Artifact LinElam X,CDLI artifact: vase; Linear Elamite; CDLI P332978,P853,Q512146,Lagash II Period,Linear Elamite Period,Q512145,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163316$EC9D3F0C-04F9-4204-833E-0CC653E676FC,Q2163316$A026E3DA-4254-44E5-A021-249E7087263D,written,
ready,432380,P432380,Q2163260,CDLI Seals 006363 (physical),Cuneiform Artifact CDLI Seals 006363 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Weingreen Museum of Biblical Antiquities, Trinity College, Dublin, Ireland; CDLI P432380",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163260$7B8DB884-946A-4A94-9259-E613F8CC33CC,Q2163260$C861A78B-2058-416A-8F84-698E2665389F,written,
ready,449334,P449334,Q2165999,CUNES 49-03-362,Cuneiform Tablet CUNES 49-03-362,"CDLI artifact: tablet; Old Akkadian; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P449334",P853,Q512148,Ur III Period,Old Akkadian Period,Q512144,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165999$6C15F91E-E7A7-4C7B-B27A-E25A5B8069EA,Q2165999$8A5FB05D-D785-4711-AEEC-CD35A47F981F,written,
ready,472967,P472967,Q2167323,CDLI Seals 006712 (physical),Cuneiform Artifact CDLI Seals 006712 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Ashmolean Museum, Oxford, UK; CDLI P472967",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167323$BBC10F44-1E7D-4BD0-B238-09DB31022C1E,Q2167323$BDDD19F7-03BF-4072-B1B7-8BE89492F906,written,
ready,476027,P476027,Q2167803,CDLI Seals 009286 (physical),Cuneiform Artifact CDLI Seals 009286 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED I-II; held by Département des Monnaies, Médailles et Antiques, Bibliothèque Nationale, Paris, France; CDLI P476027",P853,Q512148,Ur III Period,ED I-II,Q512137,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167803$A169C163-8BAB-4840-8FA0-91A336ECCEA4,Q2167803$9B659B26-072F-4984-BF45-5705D47037F9,written,
ready,477636,P477636,Q2162544,CDLI Seals 010895 (physical),Cuneiform Artifact CDLI Seals 010895 (physical),"CDLI artifact: Cylinder seal; from uncertain (mod. uncertain); ED IIIa; held by Allard Pierson Museum, University of Amsterdam, Amsterdam, Holland; CDLI P477636",P853,Q512148,Ur III Period,ED IIIa,Q512140,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162544$6344958C-0B70-4564-A582-EF55D757165A,Q2162544$DE1C449E-BBBB-4CC4-A0BE-608FBAB722DA,written,
ready,5737,P005737,Q2164096,"UET 2, 0154","Cuneiform Tablet UET 2, 0154","CDLI artifact: tablet; from Ur (mod. Tell Muqayyar); ED I-II; held by British Museum, London, UK; CDLI P005737",P853,Q512154,Middle Babylonian Period,ED I-II,Q512137,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2164096$A10A114F-FB24-4E1C-A497-840FB59C871C,Q2164096$412D51CB-03CB-4772-8298-E9C1D60FBF71,written,
