repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,111046,P111046,Q2162671,"TCTI 3, 04924","Cuneiform Tablet TCTI 3, 04924",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162671$2E079551-C718-4F57-BCF4-7E9D65C516FB,Q2162671$EB1F0AE2-EC91-489E-AB34-D923B08FE401,written,
ready,119476,P119476,Q2163493,"MVN 16, 1428","Cuneiform Tablet MVN 16, 1428",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163493$333E0F8C-95BD-45C3-AE73-13F95E649D06,Q2163493$92A3899F-A5D3-41A3-94F9-C7DA5CEE9D1A,written,
ready,122376,P122376,Q2167305,"NRVN 1, 160","Cuneiform Tablet NRVN 1, 160",,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167305$7942C537-F02A-464A-AE93-AFE3009CE7F7,Q2167305$33EC3E22-2CDE-42B8-9180-D6E67B22B8F7,written,
ready,125519,P125519,Q2168033,"PDT 1, 0103","Cuneiform Tablet PDT 1, 0103",,P853,Q512151,Old Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2168033$EDC81FE4-C5C7-42CD-97E3-9EB5151389DA,Q2168033$37CDA948-0F55-466C-942F-004860484040,written,
ready,126335,P126335,Q2163027,"PDT 2, 0989","Cuneiform Tablet PDT 2, 0989",,P853,Q512150,Early Old Babylonian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163027$4123E819-34BF-452D-80F8-003195ED92CD,Q2163027$3DDECBCE-394F-40FA-809A-9E97CA8D5D9D,written,
ready,128281,P128281,Q2165872,Rochester 176,Cuneiform Tablet Rochester 176,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165872$919C105A-CF77-4017-BF4B-70CE2F68CE6F,Q2165872$E1D6EE8D-30B6-4801-8F2F-86A8EE7C4F83,written,
ready,132726,P132726,Q2163450,"TCTI 2, 03497","Cuneiform Tablet TCTI 2, 03497",,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163450$A3FBBE67-92A3-4B13-8C0A-303D26D10165,Q2163450$C964E76F-1ADC-4842-9779-CD3FA22F16D4,written,
ready,133567,P133567,Q2165678,TÉL 059,Cuneiform Tablet TÉL 059,,P853,Q512155,Middle Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165678$17D40C16-D27F-4EC1-9FC8-FF21F5401DA9,Q2165678$02A277B5-E7B2-4E84-A443-652BCF38CA23,written,
ready,141658,P141658,Q2167001,"UTI 6, 3661","Cuneiform Tablet UTI 6, 3661",,P853,Q512158,Neo-Assyrian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167001$62858922-8E87-4227-A9C3-8D51947D0932,Q2167001$F6305BC9-76C1-4A0C-9C3C-5633A92EC694,written,
ready,1774,P001774,Q2166039,"ATU 6, pl. 011, W 10931","Cuneiform Tablet ATU 6, pl. 011, W 10931",,P853,Q512150,Early Old Babylonian Period,Uruk IV Period,Q512132,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166039$A3AB47FF-89D5-4925-8087-C8528F25FEEE,Q2166039$EF500482-6980-400C-AEC1-77A83CFA67DC,written,
