audit_status,cdli_id,factgrid_qid,live_cdli_id,live_label_en,live_description_en,label,artifact_type,period_id,period,period_time_range,statement_status,statement_value,statement_value_label,live_period_property,live_period_qid,live_period_label,provenience,primary_collection
no_expected_no_live,115802,Q2165607,P115802,"Cuneiform Tablet MVN 09, 159","CDLI artifact: tablet; from uncertain (mod. uncertain); held by Yale Babylonian Collection, New Haven, Connecticut, USA; CDLI P115802","MVN 09, 159",tablet,,,,,,,,,,uncertain (mod. uncertain),"Yale Babylonian Collection, New Haven, Connecticut, USA"
no_expected_no_live,227658,Q2169068,P227658,"Cuneiform Artifact PBS 11/3, 078","CDLI artifact: prism; from Nippur (mod. Nuffar); held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P227658","PBS 11/3, 078",prism,,,,,,,,,,Nippur (mod. Nuffar),"Penn Museum, Philadelphia, Pennsylvania, USA"
no_expected_no_live,229596,Q1937608,P229596,"Cuneiform Tablet MSL 13, 040 B","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.","MSL 13, 040 B",tablet,,,,,,,,,,Nippur (mod. Nuffar),"Arkeoloji Müzeleri, Istanbul, Turkey"
no_expected_no_live,229607,Q1937644,P229607,"Cuneiform Tablet MSL 13, 041, CBS 10294","Sumerian lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the university of pennsylvania museum of archaeology and anthropology, philadelphia, pennsylvania, usa.","MSL 13, 041, CBS 10294",tablet,,,,,,,,,,Nippur (mod. Nuffar),"Penn Museum, Philadelphia, Pennsylvania, USA"
no_expected_no_live,229781,Q894455,P229781,Cuneiform Tablet HS 1645,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,"TMH 08, 22",tablet,,,,,,,,,,Nippur (mod. Nuffar),"Hilprecht Collection, University of Jena, Jena, Germany"
no_expected_no_live,229892,Q894588,P229892,Cuneiform Tablet HS 1688,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,HS 1688,tablet,,,,,,,,,,Nippur (mod. Nuffar),"Hilprecht Collection, University of Jena, Jena, Germany"
no_expected_no_live,229938,Q894566,P229938,Cuneiform Tablet HS 1768,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,HS 1768,tablet,,,,,,,,,,Nippur (mod. Nuffar),"Hilprecht Collection, University of Jena, Jena, Germany"
no_expected_no_live,229943,Q2063736,P229943,Cuneiform Tablet HS 1773,"Lexical tablet from an unspecified location, dated to an unspecified period and currently held in the hilprecht collection, university of jena, germany.",HS 1773,tablet,,,,,,,,,,Nippur (mod. Nuffar),"Hilprecht Collection, University of Jena, Jena, Germany"
no_expected_no_live,229980,Q893863,P229980,Cuneiform Tablet HS 1825,Cuneiform Tablet of the Hilprecht Collection of Babylonian antiquities,HS 1825,tablet,,,,,,,,,,Nippur (mod. Nuffar),"Hilprecht Collection, University of Jena, Jena, Germany"
no_expected_no_live,230076,Q2066277,P230076,Cuneiform Tablet Ist Ni 03355,"Lexical tablet found in the nufar provenience, dated to an unspecified period and currently held in the arkeoloji müzeleri, istanbul, turkey.",Ist Ni 03355,tablet,,,,,,,,,,Nippur (mod. Nuffar),"Arkeoloji Müzeleri, Istanbul, Turkey"
