id,cdli_id,label,type,designation,museum_no,accession_no,artifact_type_id,artifact_type,period_id,period,period_time_range,provenience_id,provenience,provenience_location_id,provenience_place_id,provenience_region_id,materials,material_ids,languages,language_ids,language_codes,genres,genre_ids,collections,collection_ids,primary_collection,primary_collection_country_iso,primary_collection_latitude,primary_collection_longitude,publication_designations,publication_bibtexkeys,publication_years,publication_series,publication_volumes,exact_references,external_resource_urls,external_resource_names,source_json
389945,389945,LB 2357,tablet,LB 2357,LB 2357,,4,tablet,15,Ur III,ca. 2100-2000 BC,,,,,,clay,1,Sumerian,5,sux,Administrative,1,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",690,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",NLD,52.1585,4.4815,,,,,,,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/389945.json
550076,550076,"UAVA 12, 326-327",tablet,"UAVA 12, 326-327",VAT 13233,,4,tablet,20,Middle Babylonian,ca. 1400-1100 BC,200,Babylon (mod. Bābil),48,21,8,clay,1,Akkadian,20,akk,Literary,5,"Vorderasiatisches Museum, Berlin, Germany",215,"Vorderasiatisches Museum, Berlin, Germany",DEU,52.5211,13.3967,UAVA 12 | ADOG 25,Bartelmus2016UAVA | Pedersén2005ADOG25,2016 | 2005,Untersuchungen zur Assyriologie und Vorderasiatischen Archäologie | Abhandlungen der Deutschen Orient-Gesellschaft,12 | 25,"326-327 | M6, 21",,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/550076.json
315133,315133,"CT 55, 740",tablet,"CT 55, 740",BM 056753,"1882-07-14, 1161",4,tablet,35,Neo-Babylonian,ca. 626-539 BC,25,Sippar-Yahrurum (mod. Tell Abu Habbah),431,118,7,clay,1,,,,Administrative,1,"British Museum, London, UK",868,"British Museum, London, UK",GBR,51.5195,-0.12708,CT 55,Pinches1982CT55,1982,Cuneiform Texts from Babylonian Tablets in the British Museum,,740,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/315133.json
368403,368403,"RINBE 1, Nebuchadnezzar II nn, ex. nn",brick,"RINBE 1, Nebuchadnezzar II nn, ex. nn",KVM 32.1213a,,13,brick,35,Neo-Babylonian,ca. 626-539 BC,306,uncertain (mod. uncertain),,,,clay,1,,,,Official or display,6,"Kalamazoo Valley Museum, Kalamazoo, Michigan, USA",202,"Kalamazoo Valley Museum, Kalamazoo, Michigan, USA",,,,Seri CDLJ 2007/1,Seri2007Kalamazii,2007,,,§3.52,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/368403.json
210053,210053,LB 2540,tablet,LB 2540,LB 2540,,4,tablet,15,Ur III,ca. 2100-2000 BC,88,Girsu (mod. Tello),160,56,8,clay,1,Sumerian,5,sux,Administrative,1,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",690,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",NLD,52.1585,4.4815,,,,,,,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/210053.json
343753,343753,"CDLI Literary needed, ex. nn ?",tablet,"CDLI Literary needed, ex. nn ?",Ist Ni 04087,,4,tablet,18,Old Babylonian,ca. 1900-1600 BC,22,Nippur (mod. Nuffar),369,102,8,clay,1,,,,Literary,5,"Arkeoloji Müzeleri, Istanbul, Turkey",326,"Arkeoloji Müzeleri, Istanbul, Turkey",TUR,41.0111,28.9816,ISET 2,Çig1976ISET2,1976,Sumer Edebî Tablet ve Parçalari,,"093, Ni 04087",,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/343753.json
506616,506616,"Nisaba 34, 0347",tablet,"Nisaba 34, 0347",RBC 00389,,4,tablet,15,Ur III,ca. 2100-2000 BC,154,Umma (mod. Tell Jokha),238,71,8,clay,1,Sumerian,5,sux,Administrative,1,"J. Rosen Collection, Yale Babylonian Collection, New Haven, Connecticut, USA",905,"J. Rosen Collection, Yale Babylonian Collection, New Haven, Connecticut, USA",USA,,,YRBC,OzakiYRBC,2023,Nisaba,,347,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/506616.json
455116,455116,CDLI Seals 002406 (composite),seal (not impression),CDLI Seals 002406 (composite),,,12,seal (not impression),15,Ur III,ca. 2100-2000 BC,154,Umma (mod. Tell Jokha),238,71,8,stone,2,Sumerian,5,sux,Administrative,1,,,,,,,"Mayr, PhD diss | Mayr SITU | CUSAS 7",Mayr1997diss | Mayr2005SITU | MayrCUSAS7,1997 | 2005 | 2025,,,"176.1, 176.3 | 0228A, C | 0311A,C",,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/455116.json
581986,581986,BM 061769,tablet,BM 061769,BM 061769,"1882-09-18, 01738",4,tablet,26,Achaemenid,547-331 BC,,,,,,clay,1,Akkadian,20,akk,Account,14,"British Museum, London, UK",868,"British Museum, London, UK",GBR,51.5195,-0.12708,,,,,,,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/581986.json
507904,507904,unpublished unassigned,tablet,unpublished unassigned,IM 031244,,4,tablet,16,Early Old Babylonian,ca. 2000-1900 BC,245,Nerebtum (mod. Iščali),376,104,7,clay,1,,,,Administrative,1,"National Museum of Iraq, Baghdad, Iraq",1100,"National Museum of Iraq, Baghdad, Iraq",IRQ,33.3283,44.3852,JNES 63 (pp. 257-275),Gentili2004JNES63,2004,,63,267 (catalogue),,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/507904.json
388657,388657,LB 0101,tablet,LB 0101,LB 0101,,4,tablet,15,Ur III,ca. 2100-2000 BC,,,,,,clay,1,Sumerian,5,sux,Administrative,1,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",690,"de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands",NLD,52.1585,4.4815,,,,,,,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/388657.json
402864,402864,K 17534,tablet,K 17534,BM —,K 17534,4,tablet,23,Neo-Assyrian,ca. 911-612 BC,279,Nineveh (mod. Kuyunjik),373,103,6,clay,1,Akkadian,20,akk,,,"British Museum, London, UK",868,"British Museum, London, UK",GBR,51.5195,-0.12708,,,,,,,,,/Users/aa/Documents/FactGrid/FactgridCuneiform/Datasets/CDLI/2026_GET/artifacts_json/402864.json
