field_name,plan_status,count
cdli_id,ready,25000
factgrid_item_id,ready,5994
finding_spot,needs_lookup_qid,1670
finding_spot,ready,17854
finding_spot_context,ready,19524
instance_of,needs_lookup_qid,1652
instance_of,ready,22882
inventory_number,ready,24014
language,needs_lookup_qid,517
language,ready,18665
material,needs_lookup_qid,724
material,ready,23786
period,needs_lookup_qid,1247
period,ready,20335
present_holding,needs_lookup_qid,8171
present_holding,ready,15607
type_of_work,needs_lookup_qid,2584
type_of_work,ready,17979
