reuse_pool_status,reuse_candidate_class,qid_available_for_future_entity,canonical_factgrid_qid,old_cdli_id,old_duplicate_label_to_preserve,canonical_label,old_aliases_to_preserve,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3,future_entity_type,future_entity_label,future_reuse_status,source_duplicate_audit,human_review_decision,human_review_notes
candidate,duplicate_p692_cdli_artifact,Q892134,Q740110,P531876,Cuneiform Tablet KHT 463,Cuneiform Tablet KHT 463,Cuneiform Tablet KHT 463 | Cuneiform Tablet KHT 403,canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q892391,Q892386,P532090,Cuneiform Tablet KHT 32,Cuneiform Tablet KHT 32,Cuneiform Tablet KHT 32 | Cuneiform Tablet KHT 84,canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q892473,Q892470,P531634,Cuneiform Tablet KHT 160,Cuneiform Tablet KHT 160,Cuneiform Tablet KHT 160 | Cuneiform Tablet KHT 163,canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q894528,Q894306,P134631,Cuneiform Tablet HS 1321,Cuneiform Tablet HS 1321,"Cuneiform Tablet HS 1321 | Cuneiform Tablet HS 1320 | Cuneiform Tablet TMH NF 1-2, 321",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q894733,Q894659,P134501,Cuneiform Tablet HS 1190,Cuneiform Tablet HS 1190,"Cuneiform Tablet HS 1190 | Cuneiform Tablet HS 1189 | Cuneiform Tablet TMH NF 1-2, 190",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q894869,Q894392,P134458,Cuneiform Tablet HS 1147,Cuneiform Tablet HS 1147,"Cuneiform Tablet HS 1147 | Cuneiform Tablet HS 1146 | Cuneiform Tablet TMH NF 1-2, 147",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q896993,Q893887,P020453,Cuneiform Tablet HS 789,Cuneiform Tablet HS 789,"Cuneiform Tablet HS 789 | Cuneiform Tablet HS 0789 | Cuneiform Tablet TMH 05, 039",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q896997,Q894161,P020461,Cuneiform Tablet HS 797,Cuneiform Tablet HS 797,"Cuneiform Tablet HS 797 | Cuneiform Tablet HS 0797 | Cuneiform Tablet TMH 05, 047",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q897001,Q894140,P020487,Cuneiform Tablet HS 823,Cuneiform Tablet HS 823,"Cuneiform Tablet HS 823 | Cuneiform Tablet HS 0823 | Cuneiform Tablet TMH 05, 073",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q897004,Q893827,P020515,Cuneiform Tablet HS 851,Cuneiform Tablet HS 851,"Cuneiform Tablet HS 851 | Cuneiform Tablet HS 0851 | Cuneiform Tablet TMH 05, 101",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
