review_decision,review_notes,old_cdli_id,canonical_factgrid_qid,canonical_factgrid_url,duplicate_factgrid_qid,duplicate_factgrid_url,canonical_label,duplicate_label_to_preserve,all_labels_seen,duplicate_group_qids,duplicate_count_for_cdli_id,reuse_pool_status,future_reuse_status,source_duplicate_audit,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3
,,P000061,Q2020272,https://database.factgrid.de/wiki/Item:Q2020272,Q2020273,https://database.factgrid.de/wiki/Item:Q2020273,"Cuneiform Tablet CDLI Lexical 000002, ex. 092","Cuneiform Tablet CDLI Lexical 000002, ex. 092","Cuneiform Tablet CDLI Lexical 000002, ex. 092",Q2020273,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000140,Q2020552,https://database.factgrid.de/wiki/Item:Q2020552,Q2020553,https://database.factgrid.de/wiki/Item:Q2020553,"Cuneiform Tablet CDLI Lexical 000002, ex. 161","Cuneiform Tablet CDLI Lexical 000002, ex. 161","Cuneiform Tablet CDLI Lexical 000002, ex. 161",Q2020553,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000180,Q2020950,https://database.factgrid.de/wiki/Item:Q2020950,Q2020951,https://database.factgrid.de/wiki/Item:Q2020951,"Cuneiform Tablet CDLI Lexical 000007, ex. 009","Cuneiform Tablet CDLI Lexical 000007, ex. 009","Cuneiform Tablet CDLI Lexical 000007, ex. 009",Q2020951,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000206,Q2022446,https://database.factgrid.de/wiki/Item:Q2022446,Q2022447,https://database.factgrid.de/wiki/Item:Q2022447,"Cuneiform Tablet CDLI Lexical 000030, ex. 034","Cuneiform Tablet CDLI Lexical 000030, ex. 034","Cuneiform Tablet CDLI Lexical 000030, ex. 034",Q2022447,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000211,Q2019923,https://database.factgrid.de/wiki/Item:Q2019923,Q2019924,https://database.factgrid.de/wiki/Item:Q2019924,"Cuneiform Tablet CDLI Lexical 000002, ex. 006","Cuneiform Tablet CDLI Lexical 000002, ex. 006","Cuneiform Tablet CDLI Lexical 000002, ex. 006",Q2019924,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000213,Q2021718,https://database.factgrid.de/wiki/Item:Q2021718,Q2021719,https://database.factgrid.de/wiki/Item:Q2021719,"Cuneiform Tablet CDLI Lexical 000023, ex. 047","Cuneiform Tablet CDLI Lexical 000023, ex. 047","Cuneiform Tablet CDLI Lexical 000023, ex. 047",Q2021719,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000326,Q2022811,https://database.factgrid.de/wiki/Item:Q2022811,Q2022812,https://database.factgrid.de/wiki/Item:Q2022812,"Cuneiform Tablet CDLI Lexical 000265, ex. 008","Cuneiform Tablet CDLI Lexical 000265, ex. 008","Cuneiform Tablet CDLI Lexical 000265, ex. 008",Q2022812,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000357,Q2020352,https://database.factgrid.de/wiki/Item:Q2020352,Q2020353,https://database.factgrid.de/wiki/Item:Q2020353,"Cuneiform Tablet CDLI Lexical 000002, ex. 111","Cuneiform Tablet CDLI Lexical 000002, ex. 111","Cuneiform Tablet CDLI Lexical 000002, ex. 111",Q2020353,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000406,Q2021153,https://database.factgrid.de/wiki/Item:Q2021153,Q2021154,https://database.factgrid.de/wiki/Item:Q2021154,"Cuneiform Tablet CDLI Lexical 000011, ex. 021","Cuneiform Tablet CDLI Lexical 000011, ex. 021","Cuneiform Tablet CDLI Lexical 000011, ex. 021",Q2021154,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P000417,Q2023172,https://database.factgrid.de/wiki/Item:Q2023172,Q2023173,https://database.factgrid.de/wiki/Item:Q2023173,"Cuneiform Tablet CDLI Lexical Archaic Unidentified, ex. 063","Cuneiform Tablet CDLI Lexical Archaic Unidentified, ex. 063","Cuneiform Tablet CDLI Lexical Archaic Unidentified, ex. 063",Q2023173,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
