cdli_id,tw_qid,artifact_label,artifact_type,field_name,tw_pid,fg_pid,datatype,value,value_label,plan_status,source,note
580092,NEEDS_QID,BM 059029,tablet,cdli_id,P223,P692,external-id,P580092,,ready,cdli_json,
580092,NEEDS_QID,BM 059029,tablet,instance_of,P2,P2,wikibase-item,Q512006,Clay tablet,ready,CDLI_Object,
580092,NEEDS_QID,BM 059029,tablet,language,P18,P18,wikibase-item,Q471146,Akkadian,ready,CDLI_Lang,
580092,NEEDS_QID,BM 059029,tablet,type_of_work,P126,P121,wikibase-item,Q394396,Administrative,ready,CDLI_Genre,
580092,NEEDS_QID,BM 059029,tablet,material,P391,P401,wikibase-item,Q471153,Clay,ready,CDLI_Material,
580092,NEEDS_QID,BM 059029,tablet,present_holding,P203,P329,wikibase-item,Q102010,British Museum Collection,ready,museum_FG,
580092,NEEDS_QID,BM 059029,tablet,inventory_number,P10,P10,string,BM 059029,,ready,cdli_json,
580092,NEEDS_QID,BM 059029,tablet,finding_spot,P224,P695,wikibase-item,Q389840,Tall Abū Ḥabbah,ready,provenience_lookup,
325383,NEEDS_QID,CUNES 51-02-022,tablet,cdli_id,P223,P692,external-id,P325383,,ready,cdli_json,
325383,NEEDS_QID,CUNES 51-02-022,tablet,instance_of,P2,P2,wikibase-item,Q512006,Clay tablet,ready,CDLI_Object,
325383,NEEDS_QID,CUNES 51-02-022,tablet,period,P245,P853,wikibase-item,Q512148,Ur III Period,ready,CDLI_Period,
325383,NEEDS_QID,CUNES 51-02-022,tablet,language,P18,P18,wikibase-item,Q471149,Sumerian,ready,CDLI_Lang,
325383,NEEDS_QID,CUNES 51-02-022,tablet,type_of_work,P126,P121,wikibase-item,Q394396,Administrative,ready,CDLI_Genre,
325383,NEEDS_QID,CUNES 51-02-022,tablet,material,P391,P401,wikibase-item,Q471153,Clay,ready,CDLI_Material,
325383,NEEDS_QID,CUNES 51-02-022,tablet,inventory_number,P10,P10,string,CUNES 51-02-022,,ready,cdli_json,
325383,NEEDS_QID,CUNES 51-02-022,tablet,finding_spot,P224,P695,wikibase-item,Q390017,Nufar,ready,provenience_lookup,
314827,NEEDS_QID,"CT 55, 435",tablet,cdli_id,P223,P692,external-id,P314827,,ready,cdli_json,
314827,NEEDS_QID,"CT 55, 435",tablet,instance_of,P2,P2,wikibase-item,Q512006,Clay tablet,ready,CDLI_Object,
314827,NEEDS_QID,"CT 55, 435",tablet,period,P245,P853,wikibase-item,Q512161,Achaemenid Period,ready,CDLI_Period,
314827,NEEDS_QID,"CT 55, 435",tablet,type_of_work,P126,P121,wikibase-item,Q394396,Administrative,ready,CDLI_Genre,
314827,NEEDS_QID,"CT 55, 435",tablet,material,P391,P401,wikibase-item,Q471153,Clay,ready,CDLI_Material,
314827,NEEDS_QID,"CT 55, 435",tablet,present_holding,P203,P329,wikibase-item,Q102010,British Museum Collection,ready,museum_FG,
314827,NEEDS_QID,"CT 55, 435",tablet,inventory_number,P10,P10,string,BM 056860,,ready,cdli_json,
314827,NEEDS_QID,"CT 55, 435",tablet,finding_spot,P224,P695,wikibase-item,Q389840,Tall Abū Ḥabbah,ready,provenience_lookup,
276483,NEEDS_QID,N 1336,tablet,cdli_id,P223,P692,external-id,P276483,,ready,cdli_json,
276483,NEEDS_QID,N 1336,tablet,instance_of,P2,P2,wikibase-item,Q512006,Clay tablet,ready,CDLI_Object,
276483,NEEDS_QID,N 1336,tablet,period,P245,P853,wikibase-item,Q512152,Old Babylonian Period,ready,CDLI_Period,
276483,NEEDS_QID,N 1336,tablet,language,P18,P18,wikibase-item,Q471149,Sumerian,ready,CDLI_Lang,
276483,NEEDS_QID,N 1336,tablet,type_of_work,P126,P121,wikibase-item,Q245823,Literary,ready,CDLI_Genre,
276483,NEEDS_QID,N 1336,tablet,material,P391,P401,wikibase-item,Q471153,Clay,ready,CDLI_Material,
276483,NEEDS_QID,N 1336,tablet,present_holding,P203,P329,wikibase-item,Q511892,"Penn Museum, Philadelphia, Pennsylvania, USA",ready,museum_FG|factgrid_upload_table,
276483,NEEDS_QID,N 1336,tablet,inventory_number,P10,P10,string,N 1336,,ready,cdli_json,
276483,NEEDS_QID,N 1336,tablet,finding_spot,P224,P695,wikibase-item,Q390017,Nufar,ready,provenience_lookup,
551962,NEEDS_QID,Dar. 219,tablet,cdli_id,P223,P692,external-id,P551962,,ready,cdli_json,
551962,NEEDS_QID,Dar. 219,tablet,instance_of,P2,P2,wikibase-item,Q512006,Clay tablet,ready,CDLI_Object,
551962,NEEDS_QID,Dar. 219,tablet,period,P245,P853,wikibase-item,Q512164,Achaemenid Period,ready,CDLI_Period,
551962,NEEDS_QID,Dar. 219,tablet,language,P18,P18,wikibase-item,Q471146,Akkadian,ready,CDLI_Lang,
551962,NEEDS_QID,Dar. 219,tablet,material,P391,P401,wikibase-item,Q471153,Clay,ready,CDLI_Material,
551962,NEEDS_QID,Dar. 219,tablet,present_holding,P203,P329,wikibase-item,Q102010,British Museum Collection,ready,museum_FG,
551962,NEEDS_QID,Dar. 219,tablet,inventory_number,P10,P10,string,BM 077535,,ready,cdli_json,
