cdli_id,factgrid_qid,artifact_label,write_action,claims_written,claims_skipped,write_status,write_error,label_collision_qid
389945,Q2162061,Cuneiform Tablet LB 2357,create,10,1,written,,
550076,Q2162062,"Cuneiform Tablet UAVA 12, 326-327",create,11,1,written,,
315133,Q2162063,"Cuneiform Tablet CT 55, 740",create,10,1,written,,
368403,Q2162064,"Cuneiform Artifact RINBE 1, Nebuchadnezzar II nn, ex. nn",create,8,1,written,,
210053,Q2162065,Cuneiform Tablet LB 2540,create,11,1,written,,
343753,Q2162066,"Cuneiform Tablet CDLI Literary needed, ex. nn ?",create,10,1,written,,
506616,Q2162067,"Cuneiform Tablet Nisaba 34, 0347",create,10,1,written,,
455116,Q2162068,Cuneiform Artifact CDLI Seals 002406 (composite),create,10,0,written,,
581986,Q2162069,Cuneiform Tablet BM 061769,create,9,1,written,,
507904,Q2162070,Cuneiform Tablet P507904,create,10,1,written,,
388657,Q2162071,Cuneiform Tablet LB 0101,create,10,1,written,,
402864,Q2162072,Cuneiform Tablet K 17534,create,10,1,written,,
1575,Q2162073,"Cuneiform Tablet ATU 5, pl. 107, W 9656,fe",create,10,1,written,,
342841,Q2162074,"Cuneiform Tablet VS 02, 033",create,10,1,written,,
403776,Q2162075,Cuneiform Tablet K 18583,create,10,1,written,,
246633,Q2162076,Cuneiform Tablet P246633,create,10,1,written,,
133766,Q2045444,Cuneiform Tablet TÉL 250,update,4,8,written,,
344096,Q2162077,Cuneiform Tablet PRAK B 280,create,10,1,written,,
395966,Q2162078,Cuneiform Tablet K 05270,create,10,1,written,,
428426,Q2162079,Cuneiform Artifact BM 114296,create,8,1,written,,
479583,Q2162080,"Cuneiform Tablet FM 03, 059",create,11,1,written,,
331196,Q1982557,"Cuneiform Tablet Nisaba 05/1, 135",update,5,7,written,,
594287,Q2162081,Cuneiform Tablet BM 078111,create,9,1,written,,
110006,Q2062996,Cuneiform Tablet HLC 129 (pl. 098),update,4,8,written,,
118436,Q1966191,"Cuneiform Tablet MVN 15, 156",update,4,7,written,,
262696,Q2162082,Cuneiform Tablet CBS 07693A,create,9,1,written,,
217796,Q1924419,"Cuneiform Tablet ITT 4, 07459",update,4,7,written,,
290806,Q2011875,"Cuneiform Tablet BPOA 07, 2012",update,4,8,written,,
233733,Q2162083,"Cuneiform Artifact RIME 3/1.01.07.037, ex. 0982",create,11,1,written,,
265153,Q2162084,Cuneiform Artifact CBS 09840,create,11,1,written,,
476676,Q2162085,Cuneiform Artifact CDLI Seals 009935 (physical),create,8,1,written,,
593542,Q2162086,Cuneiform Tablet BM 076690,create,9,1,written,,
420016,Q2162087,Cuneiform Tablet K 21785,create,10,1,written,,
558446,Q2162088,Cuneiform Tablet BM 046034,create,9,1,written,,
336653,Q2025968,"Cuneiform Tablet SAA 08, 020",update,4,7,written,,
601186,Q2162089,Cuneiform Tablet BM 101246,create,10,1,written,,
360033,Q1369776,"Cuneiform Tablet KTS 1, 21b",update,5,7,written,,
573716,Q2162090,"Cuneiform Tablet OBO 260, no. 1",create,10,1,written,,
525176,Q2162091,Cuneiform Tablet Al-Hashimi diss. no. 09,create,11,1,written,,
443538,Q2162092,"Cuneiform Tablet KBo 57, 129",create,10,1,written,,
285307,Q2162093,"Cuneiform Tablet BAM 3, 220",create,8,1,written,,
510238,Q2162094,"Cuneiform Tablet MHET 2/6, 862",create,11,1,written,,
380267,Q2007293,"Cuneiform Tablet PPAC 5, 1594",update,4,8,written,,
415358,Q2162095,"Cuneiform Tablet UET 5, 0483",create,10,1,written,,
477964,Q2162096,Cuneiform Artifact CDLI Seals 011223 (physical),create,7,1,written,,
337941,Q2162097,Cuneiform Tablet OIM A05484,create,11,1,written,,
572804,Q2162098,Cuneiform Tablet BM 049820,create,9,1,written,,
232821,Q2162099,"Cuneiform Artifact RIME 3/1.01.07.037, ex. 0070",create,10,1,written,,
127375,Q2162100,"Cuneiform Tablet RA 009, 044 SA 52",create,10,1,written,,
9145,Q2162101,"Cuneiform Tablet MDP 26, 457",create,10,1,written,,
203385,Q2006026,Cuneiform Tablet BM 027808,update,4,8,written,,
350485,Q2162102,"Cuneiform Tablet ARM 12, 042",create,11,1,written,,
570839,Q2162103,Cuneiform Tablet BM 047192,create,7,1,written,,
475959,Q2162104,Cuneiform Artifact CDLI Seals 009219 (physical),create,10,1,written,,
20228,Q2063471,"Cuneiform Tablet VS 25, 021",update,4,8,written,,
125348,Q2001594,"Cuneiform Tablet OrSP 47-49, 458",update,4,8,written,,
204440,Q2162105,Cuneiform Tablet BM 024285,create,11,1,written,,
299324,Q2162106,Cuneiform Tablet NBC 07867,create,10,1,written,,
301520,Q1975493,Cuneiform Tablet NBC 10599,update,4,8,written,,
252220,Q2162107,"Cuneiform Tablet MSCT 2, 096-122",create,9,2,written,,
357340,Q1370717,"Cuneiform Tablet TCL 04, 005",update,5,7,written,,
512205,Q2162108,"Cuneiform Tablet AuOr 20, 085-086 09",create,11,1,written,,
279170,Q2162109,Cuneiform Tablet N 4313,create,11,1,written,,
441505,Q2162110,"Cuneiform Tablet KBo 46, 197",create,10,1,written,,
544465,Q2162111,Cuneiform Artifact TA 1930 T0227b,create,9,0,written,,
355687,Q2066481,"Cuneiform Tablet ZA 083, pl. 6b",update,4,8,written,,
492932,Q2162112,"Cuneiform Tablet TBER pl. 17, AO 8156",create,7,1,written,,
459836,Q2162113,Cuneiform Tablet FLP 1268 (missing ?),create,7,1,written,,
206187,Q1969729,"Cuneiform Tablet MVN 22, 197",update,4,8,written,,
417365,Q2162114,Cuneiform Tablet ROM 925.062.190,create,9,1,written,,
597852,Q2162115,Cuneiform Tablet BM 084047,create,10,1,written,,
319813,Q2162116,Cuneiform Tablet BM 022131,create,11,1,written,,
468392,Q2162117,Cuneiform Tablet U 17844,create,7,0,written,,
122177,Q1980871,"Cuneiform Tablet Nik 2, 494",update,5,7,written,,
412167,Q2162118,Cuneiform Tablet CUNES 58-06-051,create,10,1,written,,
541667,Q2162119,Cuneiform Artifact CDLI Seals 020829 (physical),create,8,1,written,,
379212,Q2162120,Cuneiform Tablet BM 088112,create,10,1,written,,
444707,Q2162121,"Cuneiform Tablet KUB 23, 014",create,10,1,written,,
109227,Q2055858,Cuneiform Tablet DoCu 259,update,4,7,written,,
517007,Q2162122,Cuneiform Artifact CDLI Seals 013959 (composite),create,9,0,written,,
439237,Q2162123,"Cuneiform Tablet KBo 37, 113",create,10,1,written,,
399046,Q2162124,Cuneiform Tablet K 11024,create,10,1,written,,
574529,Q2162125,Cuneiform Tablet BM 055493,create,7,1,written,,
257022,Q2162126,Cuneiform Tablet UM 29-16-559,create,11,1,written,,
522349,Q2162127,Cuneiform Artifact CDLI Seals 015351 (physical),create,6,1,written,,
304722,Q2058675,Cuneiform Tablet Feuerherm diss. K015,update,3,8,written,,
387058,Q2162128,"Cuneiform Tablet TCL 11, 243",create,10,1,written,,
352142,Q2162129,"Cuneiform Tablet ARM 21, 140",create,11,1,written,,
408993,Q2162130,"Cuneiform Tablet HSS 15, 186",create,10,1,written,,
409681,Q2162131,Cuneiform Tablet CUNES 48-09-306,create,7,1,written,,
282138,Q1928495,Cuneiform Tablet KAJ 124a,update,4,6,written,,
509019,Q2162132,"Cuneiform Tablet OIP 043, 190 TA 1930 T083",create,10,1,written,,
471449,Q2162133,Cuneiform Tablet PTS 3357,create,9,1,written,,
305830,Q2025073,"Cuneiform Tablet CDLI Literary 000356, ex. 006",update,3,8,written,,
143464,Q2031042,"Cuneiform Tablet SAT 2, 0264",update,4,8,written,,
334394,Q1973479,Cuneiform Tablet ABL 0573,update,4,8,written,,
10364,Q1995966,"Cuneiform Tablet OIP 099, 435",update,4,8,written,,
115204,Q1952036,"Cuneiform Tablet MVN 07, 334",update,4,8,written,,
200950,Q2051668,"Cuneiform Tablet UE 10, 407",update,4,7,written,,
542948,Q2162134,Cuneiform Artifact CDLI Seals 022094 (physical),create,8,1,written,,
540975,Q2162135,Cuneiform Artifact CDLI Seals 020099 (physical),create,9,1,written,,
591085,Q2162136,Cuneiform Tablet BM 072400,create,9,1,written,,
218199,Q2029485,"Cuneiform Tablet SANTAG 7, 124",update,4,8,written,,
445815,Q2162137,"Cuneiform Tablet KUB 37, 072",create,10,1,written,,
141459,Q2162138,"Cuneiform Tablet UTI 5, 3441",create,11,1,written,,
447828,Q2162139,Cuneiform Tablet KuSa 1/1.05,create,10,1,written,,
117239,Q1959762,"Cuneiform Tablet MVN 13, 466",update,4,8,written,,
576514,Q2162140,Cuneiform Tablet BM 051440,create,9,1,written,,
520374,Q2162141,Cuneiform Tablet NHMU AR4097,create,6,1,written,,
139691,Q2162142,"Cuneiform Tablet UTI 3, 1672",create,11,1,written,,
